fee_id,payment_id,fee_amount,tax_amount,fee_type
fee_903ed3f5fa,pay_e8cfb14e85,69.62,12.53,gateway_fee
fee_ed580ab486,pay_46bb632827,19.87,3.58,gateway_fee
fee_f18eeb382d,pay_e856bf77a9,17.3,3.11,gateway_fee
fee_38a2340358,pay_7f4b313a2b,8.04,1.45,gateway_fee
fee_6a7cd396d4,pay_162b10d395,19.93,3.59,gateway_fee
fee_5a7b197342,pay_f8009ca2fe,358.09,64.46,gateway_fee
fee_fb699d81d1,pay_44e32fa9e5,11.71,2.11,gateway_fee
fee_abaae13cda,pay_eb67f62bad,36.16,6.51,gateway_fee
fee_2f846b65eb,pay_a43e3f8d75,16.3,2.93,gateway_fee
fee_ee5c804cfc,pay_2928ff2f84,217.8,39.2,gateway_fee
fee_a73518a947,pay_c3d7d29f21,12.19,2.19,gateway_fee
fee_8e3994a7c3,pay_b1b0bab202,77.15,13.89,gateway_fee
fee_12f32e89e4,pay_5c1aa97558,16.06,2.89,gateway_fee
fee_3b0d4949e4,pay_f82d944ded,23.97,4.31,gateway_fee
fee_1228e5685d,pay_040768c720,229.71,41.35,gateway_fee
fee_46383bd778,pay_6ed2f0a555,559.06,100.63,gateway_fee
fee_4de1993d83,pay_f6686cd9c4,27.08,4.87,gateway_fee
fee_a288571be8,pay_4a9f2d42c2,17.9,3.22,gateway_fee
fee_e66e02f286,pay_e68ffaa35f,98.51,17.73,gateway_fee
fee_b04971fd5e,pay_57e03ab864,62.64,11.28,gateway_fee
fee_7327c1b0a8,pay_616b4d4148,397.8,71.6,gateway_fee
fee_d17f518438,pay_76dbd0fb0c,21.73,3.91,gateway_fee
fee_abe0190ad8,pay_d04274d3e4,11.96,2.15,gateway_fee
fee_47a472b04a,pay_010edef158,25.25,4.54,gateway_fee
fee_f5555560e4,pay_7afc9999f1,303.87,54.7,gateway_fee
fee_35a9bed72f,pay_22be6e427c,577.01,103.86,gateway_fee
fee_d89a895615,pay_3a1916e1c9,27.88,5.02,gateway_fee
fee_a525d362a2,pay_73af198dfe,7.24,1.3,gateway_fee
fee_427a0449d2,pay_4826ea0594,26.77,4.82,gateway_fee
fee_9479c87e5d,pay_b734627cec,17.25,3.1,gateway_fee
fee_5b7b97eb5f,pay_b19923f580,10.93,1.97,gateway_fee
fee_d5381fdb01,pay_d8e878678f,222.62,40.07,gateway_fee
fee_67ec299c66,pay_3d59c4f3d1,10.9,1.96,gateway_fee
fee_8dd2b0e2f1,pay_2714a19014,69.53,12.52,gateway_fee
fee_bb5c7de4f4,pay_b2d3808616,34.18,6.15,gateway_fee
fee_924144b329,pay_beb37b198c,16.74,3.01,gateway_fee
fee_26f82ab899,pay_6c9fec68b8,5.82,1.05,gateway_fee
fee_912f1828bf,pay_6bc1db72ce,767.11,138.08,gateway_fee
fee_d8d261ddba,pay_9d4edaac54,91.85,16.53,gateway_fee
fee_585c6fa3c6,pay_fc4ae9853a,18.87,3.4,gateway_fee
fee_900fedf98a,pay_31aeb3586e,79.98,14.4,gateway_fee
fee_bc35eb9448,pay_81120a6841,8.99,1.62,gateway_fee
fee_96047670f5,pay_6aaa9fbd29,13.75,2.48,gateway_fee
fee_6174f62830,pay_8d9f96d7d0,15.43,2.78,gateway_fee
fee_65e7e71d88,pay_a506e18716,28.65,5.16,gateway_fee
fee_8085f3478e,pay_2bb294e160,27.15,4.89,gateway_fee
fee_49ba2dc7a1,pay_db5f7e6007,20.3,3.65,gateway_fee
fee_6cd369a951,pay_ccdd7e875d,17.52,3.15,gateway_fee
fee_79b6cecc16,pay_c3591db20d,599.91,107.98,gateway_fee
fee_a17bcc17e5,pay_792ca44da7,17.24,3.1,gateway_fee
fee_93dab962e9,pay_e2b7da42f1,15.02,2.7,gateway_fee
fee_e4e4c4262e,pay_84ad1d1aa8,17.16,3.09,gateway_fee
fee_6e56394fca,pay_da0e22a20f,226.64,40.8,gateway_fee
fee_11650d4d79,pay_e689c9871c,854.43,153.8,gateway_fee
fee_b3e2478b4d,pay_ab81681947,84.16,15.15,gateway_fee
fee_1689734a20,pay_96d9e9c787,232.61,41.87,gateway_fee
fee_1291523052,pay_d8ecccd4e7,175.67,31.62,gateway_fee
fee_6d1f5d2173,pay_d169cd82e0,9.52,1.71,gateway_fee
fee_ba7f42bd23,pay_9909510664,173.82,31.29,gateway_fee
fee_ee11a20c1d,pay_3bf13fe5ed,20.08,3.61,gateway_fee
fee_a551a357fb,pay_52144d5749,140.1,25.22,gateway_fee
fee_24e2f657a4,pay_2fc8a56689,27.7,4.99,gateway_fee
fee_c758b8cc27,pay_d282f68cf2,757.69,136.38,gateway_fee
fee_73f2f56e0c,pay_2e7ddf0874,102.29,18.41,gateway_fee
fee_e17e490c33,pay_a585543422,75.01,13.5,gateway_fee
fee_928d609d7b,pay_507e48763d,233.1,41.96,gateway_fee
fee_50c75a7b17,pay_2a2dfc1c9a,24.54,4.42,gateway_fee
fee_5af9b11953,pay_1d39fa2524,10.46,1.88,gateway_fee
fee_1211bdf60a,pay_dffd59420a,154.69,27.84,gateway_fee
fee_1d51a6539a,pay_c444117618,210.91,37.96,gateway_fee
fee_bb108b51d4,pay_67bdfbb7dc,10.95,1.97,gateway_fee
fee_b7bd74e2f1,pay_e5b21164dc,2.99,0.54,gateway_fee
fee_8930828e5f,pay_ba71ac4d69,750.62,135.11,gateway_fee
fee_ef3cc5c4ce,pay_223f1248c4,22.75,4.09,gateway_fee
fee_a0f150800c,pay_ba76494aae,26.4,4.75,gateway_fee
fee_7b3f2f8c35,pay_241fa824b5,26.26,4.73,gateway_fee
fee_c7b0ecebba,pay_22c5b4ce72,237.2,42.7,gateway_fee
fee_02310a6ac1,pay_df383cf639,67.13,12.08,gateway_fee
fee_2834a94014,pay_da6f83783a,23.99,4.32,gateway_fee
fee_d3a03d3a20,pay_7c08934b0b,3.06,0.55,gateway_fee
fee_d91dcf8750,pay_755f65d1cd,161.6,29.09,gateway_fee
fee_4143fc2c93,pay_4fdc4849f5,18.48,3.33,gateway_fee
fee_a78906c1d6,pay_eec66f7ae3,16.68,3.0,gateway_fee
fee_b4ef49fdbc,pay_5f1ab6bb51,27.39,4.93,gateway_fee
fee_9b6a3cddab,pay_30343898dd,65.49,11.79,gateway_fee
fee_9b65c41bb3,pay_8423301bda,9.08,1.63,gateway_fee
fee_8a7d47b5b8,pay_439f756979,16.57,2.98,gateway_fee
fee_32eaa8fc44,pay_fc5d0bd3e0,5.19,0.93,gateway_fee
fee_30c3d2a440,pay_940b454c4d,13.47,2.42,gateway_fee
fee_05a0f0562e,pay_be62b9b4bf,51.27,9.23,gateway_fee
fee_b563a45556,pay_e8de2c67c8,6.89,1.24,gateway_fee
fee_4eb351998c,pay_774138f6fa,23.23,4.18,gateway_fee
fee_8250bb6cbe,pay_9ae43ec5a4,443.92,79.91,gateway_fee
fee_53be1808c0,pay_6a56218443,446.59,80.39,gateway_fee
fee_70f0974249,pay_fd2a9ec733,236.13,42.5,gateway_fee
fee_f7674be6d4,pay_cd4d145ce9,19.12,3.44,gateway_fee
fee_ea6196be4a,pay_896fc2153a,122.54,22.06,gateway_fee
fee_2183403a8b,pay_edc8e944eb,148.65,26.76,gateway_fee
fee_d099a35dbc,pay_1bdbe718f2,212.58,38.26,gateway_fee
fee_ba0f92c248,pay_2549502a24,15.96,2.87,gateway_fee
fee_9492353b53,pay_dfee40bcf0,17.37,3.13,gateway_fee
fee_aa2973d97a,pay_5aba53d57f,11.54,2.08,gateway_fee
fee_ef9fcd56ef,pay_92ae2d589b,25.24,4.54,gateway_fee
fee_9bb5a81589,pay_8f0e93597c,185.93,33.47,gateway_fee
fee_8904da2358,pay_3806ca4229,192.15,34.59,gateway_fee
fee_7f31c9a907,pay_c20bd2df2b,3.36,0.6,gateway_fee
fee_8fb57bdba4,pay_86dcf8be62,51.75,9.31,gateway_fee
fee_eeeb796570,pay_b2262c5b9c,87.46,15.74,gateway_fee
fee_d3ec37a01e,pay_0047cfd8d1,187.17,33.69,gateway_fee
fee_14ed40ee60,pay_d1243d1c72,91.02,16.38,gateway_fee
fee_2901059eb0,pay_345d35d4bb,179.17,32.25,gateway_fee
fee_2548e163a9,pay_0f0e978d93,36.78,6.62,gateway_fee
fee_5a887750fa,pay_9363c4c132,79.89,14.38,gateway_fee
fee_4e397859ae,pay_007019bf79,280.89,50.56,gateway_fee
fee_d9f44f0ccf,pay_4284520666,107.23,19.3,gateway_fee
fee_e300f072ec,pay_f646951d27,296.6,53.39,gateway_fee
fee_6a8dd7be06,pay_8292d43d29,18.35,3.3,gateway_fee
fee_63e7552b5f,pay_4b72b539fc,192.47,34.64,gateway_fee
fee_02a36a4881,pay_e632941b46,96.75,17.41,gateway_fee
fee_3f25a521b3,pay_0ce03b3354,4.57,0.82,gateway_fee
fee_a382775a9f,pay_bd7155f276,160.44,28.88,gateway_fee
fee_9c9c3b8255,pay_5b15b298f8,35.19,6.33,gateway_fee
fee_7a7a5eeb7a,pay_c4d8e30b2b,20.24,3.64,gateway_fee
fee_4e2fdab6f3,pay_00cec5680a,74.26,13.37,gateway_fee
fee_7afa97f87c,pay_101d6427c9,6.98,1.26,gateway_fee
fee_e3dcc72a60,pay_d14ea34bd6,13.32,2.4,gateway_fee
fee_373ef981a1,pay_377d577f83,43.28,7.79,gateway_fee
fee_ed458629c1,pay_e9a7c1f95c,21.2,3.82,gateway_fee
fee_df8c19432a,pay_73ead9680d,6.38,1.15,gateway_fee
fee_e6fedc184a,pay_3c5d8a2160,26.84,4.83,gateway_fee
fee_abc175ed05,pay_7ba76a4e88,18.71,3.37,gateway_fee
fee_86d6e9b574,pay_e9878dbc1c,59.92,10.79,gateway_fee
fee_c4aced9035,pay_a6f009884f,149.13,26.84,gateway_fee
fee_7566000580,pay_c649db10cc,7.53,1.36,gateway_fee
fee_cdc27a3c65,pay_c715a88eb3,9.98,1.8,gateway_fee
fee_bae771c37f,pay_7eff7ac5e7,18.36,3.3,gateway_fee
fee_ff6e70e8cf,pay_9dbefc37e5,8.2,1.48,gateway_fee
fee_58ce559728,pay_490f201517,23.69,4.26,gateway_fee
fee_aff4cdbca7,pay_8f0b510123,71.25,12.82,gateway_fee
fee_6b4d60900f,pay_cccd4aff90,18.52,3.33,gateway_fee
fee_0d65d0c3ac,pay_4db60596f4,2.3,0.41,gateway_fee
fee_577fa64b75,pay_f8645e2cce,148.82,26.79,gateway_fee
fee_47dee69ea2,pay_e1b9c42ac7,9.4,1.69,gateway_fee
fee_263c23df80,pay_9023e7a868,85.3,15.35,gateway_fee
fee_95645b9373,pay_aca347ed9e,46.35,8.34,gateway_fee
fee_94b92ab588,pay_4d0b10b018,102.46,18.44,gateway_fee
fee_8ee46493e7,pay_2bde6304ac,20.02,3.6,gateway_fee
fee_fbe5315dde,pay_97cb7665f4,117.07,21.07,gateway_fee
fee_d4b6885d03,pay_8c849a9623,695.51,125.19,gateway_fee
fee_e097066806,pay_4750f9f28b,129.0,23.22,gateway_fee
fee_5fb097fdd8,pay_12ea49f247,68.2,12.28,gateway_fee
fee_1687ebe2e6,pay_5f1530fc8b,6.19,1.11,gateway_fee
fee_a0c20c8db6,pay_16d57c8e61,5.29,0.95,gateway_fee
fee_846068690f,pay_a0d30d69a1,139.63,25.13,gateway_fee
fee_030dfa552c,pay_83dfd8ca44,18.49,3.33,gateway_fee
fee_d53025fb76,pay_da61394005,303.7,54.67,gateway_fee
fee_f9d2deb96e,pay_8f34243be1,2.2,0.4,gateway_fee
fee_3edc1030ec,pay_b120c5f6eb,84.87,15.28,gateway_fee
fee_d1afe681b6,pay_bb3ee964ff,116.78,21.02,gateway_fee
fee_5437ad2b29,pay_39183230b3,679.01,122.22,gateway_fee
fee_4316f71536,pay_7e2eb95670,316.21,56.92,gateway_fee
fee_35efb559a9,pay_986c984bb0,63.76,11.48,gateway_fee
fee_7759f20051,pay_fdd4074aa0,8.21,1.48,gateway_fee
fee_d629e54b55,pay_eeb2f7b8e4,28.98,5.22,gateway_fee
fee_b0d4ec3f58,pay_24c04af375,633.8,114.08,gateway_fee
fee_bd68708544,pay_775355cfdf,171.55,30.88,gateway_fee
fee_8d146ad1d6,pay_c1cf37b5cd,20.75,3.73,gateway_fee
fee_0a302cafcb,pay_537ecb80ae,147.41,26.53,gateway_fee
fee_d8950760e7,pay_4182f58bc2,13.31,2.4,gateway_fee
fee_945f26b098,pay_258664de69,11.52,2.07,gateway_fee
fee_9213587c37,pay_215dbdbc55,668.01,120.24,gateway_fee
fee_555412b9a7,pay_990b37f633,9.22,1.66,gateway_fee
fee_ac549e9045,pay_16174f8ce7,2.27,0.41,gateway_fee
fee_6d5330295c,pay_46da1f62a6,602.18,108.39,gateway_fee
fee_d4b7b06e01,pay_1dea04f58f,384.53,69.22,gateway_fee
fee_a3541325c9,pay_59f6531551,205.63,37.01,gateway_fee
fee_2f2833ec7d,pay_a10076aba2,2.19,0.39,gateway_fee
fee_673107d8bb,pay_2af949626f,215.01,38.7,gateway_fee
fee_311607533c,pay_a57417c49a,56.93,10.25,gateway_fee
fee_44d0423f11,pay_3524876a12,21.22,3.82,gateway_fee
fee_e6c0a63c22,pay_6d9f9a51bf,20.87,3.76,gateway_fee
fee_35ea36c6e7,pay_d6a70eab70,9.54,1.72,gateway_fee
fee_2c71eb397d,pay_1dcc6e030b,108.19,19.47,gateway_fee
fee_974a88297c,pay_bb967b9960,4.8,0.86,gateway_fee
fee_7717b36c3a,pay_92f1e3b30c,24.56,4.42,gateway_fee
fee_0454c11aa6,pay_a783d0304e,93.01,16.74,gateway_fee
fee_f2018136b5,pay_29f079de96,19.64,3.54,gateway_fee
fee_27d1a82886,pay_7bb770ec97,13.53,2.44,gateway_fee
fee_3237983b28,pay_7a3dd9ed7d,20.85,3.75,gateway_fee
fee_bdbcac95d8,pay_a9d2b9610e,60.42,10.88,gateway_fee
fee_7528127ca3,pay_c2a9c41a3b,11.62,2.09,gateway_fee
fee_de7660077d,pay_b3db8bff97,14.46,2.6,gateway_fee
fee_3507aaa7e6,pay_0d3246c3ca,9.05,1.63,gateway_fee
fee_eff58b8719,pay_815c66edf2,536.28,96.53,gateway_fee
fee_991751ccb0,pay_dce95cd4b2,36.0,6.48,gateway_fee
fee_3d0742d21a,pay_84389d82ea,29.15,5.25,gateway_fee
fee_7d08317c15,pay_28078925c2,142.09,25.58,gateway_fee
fee_a37da41071,pay_c4748f960a,6.36,1.14,gateway_fee
fee_81d19b9f62,pay_ee2ce7281c,21.26,3.83,gateway_fee
fee_819a7d1e8a,pay_b0cf973fa0,145.12,26.12,gateway_fee
fee_47d67a4833,pay_6f53d27bdc,165.66,29.82,gateway_fee
fee_1ee9e37694,pay_9cf18ecfc5,158.78,28.58,gateway_fee
fee_87b70c4c18,pay_d72869346c,68.31,12.3,gateway_fee
fee_e69a738fd2,pay_0c617ebd69,5.5,0.99,gateway_fee
fee_19f1614148,pay_66cb70236c,10.72,1.93,gateway_fee
fee_f7009600e0,pay_b08673d55a,282.59,50.87,gateway_fee
fee_81560a9b78,pay_14720205b2,55.61,10.01,gateway_fee
fee_601c2613e2,pay_d9c470062e,22.59,4.07,gateway_fee
fee_74b8b96efe,pay_e578b8096a,186.39,33.55,gateway_fee
fee_1f4e12f4b9,pay_7c73e1e8b9,75.74,13.63,gateway_fee
fee_954f409f9c,pay_45b2b832dd,113.12,20.36,gateway_fee
fee_850f47f5a7,pay_4ae767d08c,23.58,4.24,gateway_fee
fee_b9c58d7e8f,pay_e77e9f8b5f,3.11,0.56,gateway_fee
fee_d559dd09b3,pay_aee405f06d,11.06,1.99,gateway_fee
fee_f5368349c9,pay_ef3256ec4f,14.58,2.62,gateway_fee
fee_4c418e06ad,pay_8319e2330a,160.14,28.83,gateway_fee
fee_730d4feafb,pay_4c66da5518,15.93,2.87,gateway_fee
fee_a3ae7dec4f,pay_2de951a7b1,16.65,3.0,gateway_fee
fee_c4a6d8fc23,pay_4730a1b9e6,7.37,1.33,gateway_fee
fee_85733ef25e,pay_f7a3c88b1e,872.38,157.03,gateway_fee
fee_ae9c09f289,pay_9d39cbd23f,85.82,15.45,gateway_fee
fee_5cf8fc22c5,pay_513d5d7d2d,8.47,1.52,gateway_fee
fee_f1b208c063,pay_0ec76f0b5a,147.21,26.5,gateway_fee
fee_b826df07eb,pay_4e0bccd09c,16.13,2.9,gateway_fee
fee_25efd606e8,pay_03b1381e26,19.73,3.55,gateway_fee
fee_79ceb6b4a6,pay_94ffdf5558,433.11,77.96,gateway_fee
fee_38c4bc2457,pay_aa64ec4f8d,5.78,1.04,gateway_fee
fee_5ee0779a85,pay_12add24ea9,26.91,4.84,gateway_fee
fee_3d46997cb9,pay_68fff9702b,75.66,13.62,gateway_fee
fee_2f4d028d82,pay_32aa715f57,223.59,40.25,gateway_fee
fee_4b740631ea,pay_c902fac4b2,20.28,3.65,gateway_fee
fee_398c3f8abc,pay_ccffbe240f,17.12,3.08,gateway_fee
fee_db7d5dfaf3,pay_75556e0b81,112.51,20.25,gateway_fee
fee_609860e35a,pay_34e79bfa81,15.32,2.76,gateway_fee
fee_b70b72818e,pay_29a6e5f3f9,190.03,34.21,gateway_fee
fee_93b10379eb,pay_69e38969b3,638.43,114.92,gateway_fee
fee_011e7700e1,pay_3c0beccaa2,20.81,3.75,gateway_fee
fee_18b25c0973,pay_e5dd20786f,10.54,1.9,gateway_fee
fee_7beae8952f,pay_f6afb1cb43,62.76,11.3,gateway_fee
fee_54f5ebf9e0,pay_8d61d773c8,21.43,3.86,gateway_fee
fee_007d368fae,pay_b49753f414,7.71,1.39,gateway_fee
fee_aaea12177e,pay_8891db8b8a,109.09,19.64,gateway_fee
fee_35d7f803d9,pay_aed237715e,41.15,7.41,gateway_fee
fee_d5c2e86e2c,pay_620123d223,26.74,4.81,gateway_fee
fee_2bd552e452,pay_810bae4935,141.63,25.49,gateway_fee
fee_0b33ef3f85,pay_675b93a01b,27.82,5.01,gateway_fee
fee_8bee517ce1,pay_a188c8d12a,19.51,3.51,gateway_fee
fee_34851f6a2d,pay_d4cda0e074,411.44,74.06,gateway_fee
fee_cabfaf2284,pay_99c84fbfc5,161.36,29.04,gateway_fee
fee_f07052618c,pay_631914f9b7,17.18,3.09,gateway_fee
fee_113e3270df,pay_bd6e3484ee,140.0,25.2,gateway_fee
fee_a32bdcce35,pay_1b7f29ccbd,16.92,3.05,gateway_fee
fee_afb39a6f80,pay_96ce2e9f05,116.95,21.05,gateway_fee
fee_f074af78bf,pay_4d9247136b,7.17,1.29,gateway_fee
fee_43e29cbd96,pay_a4a46dbeb1,68.64,12.36,gateway_fee
fee_54b622ac2c,pay_9012486969,29.13,5.24,gateway_fee
fee_bd954bf6be,pay_47c4febbe3,989.08,178.03,gateway_fee
fee_42d5de8295,pay_8fc322154d,157.67,28.38,gateway_fee
fee_eea666284b,pay_9209790e47,177.86,32.01,gateway_fee
fee_7cfd73ea1d,pay_6194bfceb1,22.58,4.06,gateway_fee
fee_9c6f15466e,pay_209ab7b030,10.53,1.9,gateway_fee
fee_8004876f78,pay_793838d3fc,5.98,1.08,gateway_fee
fee_54167ca94b,pay_4100d9bc4f,769.05,138.43,gateway_fee
fee_a90277e2a6,pay_2cbcf96853,12.75,2.29,gateway_fee
fee_0e6f4cec25,pay_ebafe7f365,669.77,120.56,gateway_fee
fee_48ad34fd09,pay_5ffbc76130,23.52,4.23,gateway_fee
fee_11559b960c,pay_95a0ee823a,83.15,14.97,gateway_fee
fee_8afcfb4358,pay_3c0e4b6232,18.49,3.33,gateway_fee
fee_8b0279ca6e,pay_545dba7052,25.91,4.66,gateway_fee
fee_80f5af4bd5,pay_f6818e6916,362.61,65.27,gateway_fee
fee_0952f0aea2,pay_d83070272c,97.79,17.6,gateway_fee
fee_e58faeb35c,pay_8624fbb62c,21.45,3.86,gateway_fee
fee_8454a061e9,pay_6f97f44f79,52.95,9.53,gateway_fee
fee_da290f69f3,pay_2dcefd4e3d,84.53,15.22,gateway_fee
fee_9e0fa5eae4,pay_f3a210d674,134.53,24.22,gateway_fee
fee_6db73522a9,pay_ddc9fea604,24.31,4.38,gateway_fee
fee_5a845d2e6a,pay_706bad5240,19.94,3.59,gateway_fee
fee_eaa61cf4ba,pay_efb4d5106e,2.17,0.39,gateway_fee
fee_68fdb155d6,pay_446003d3a9,25.35,4.56,gateway_fee
fee_eea76052e3,pay_f0817f6e7d,26.23,4.72,gateway_fee
fee_65820bbcdd,pay_ec0452dc7b,172.42,31.04,gateway_fee
fee_1436a73ac8,pay_0426b956cb,2.87,0.52,gateway_fee
fee_cb9d649c68,pay_f346a8ef94,187.82,33.81,gateway_fee
fee_57cedfb601,pay_b2b5461d71,28.62,5.15,gateway_fee
fee_82cd8031d0,pay_29f35f7ae5,577.27,103.91,gateway_fee
fee_c1b198d4ea,pay_f4d4d5b869,139.96,25.19,gateway_fee
fee_af6fb8d790,pay_e6fb4a277e,99.99,18.0,gateway_fee
fee_c2f1bb024b,pay_d3e3bed3d5,26.98,4.86,gateway_fee
fee_faee568977,pay_0d6238fc76,5.29,0.95,gateway_fee
fee_97c585a9f4,pay_4b32429d25,17.19,3.09,gateway_fee
fee_59ded40caf,pay_e1241fdb2a,3.51,0.63,gateway_fee
fee_d793efd54d,pay_2280702099,159.43,28.7,gateway_fee
fee_685feeb0a4,pay_7785c30ee3,5.69,1.02,gateway_fee
fee_11b733cd08,pay_3876db1e6e,27.08,4.87,gateway_fee
fee_c43be2f489,pay_d12d4d3842,15.31,2.76,gateway_fee
fee_79fb054add,pay_792dcf74f1,56.75,10.21,gateway_fee
fee_34576201f9,pay_d3a72993a2,10.46,1.88,gateway_fee
fee_19af416768,pay_8374817c79,15.51,2.79,gateway_fee
fee_d176e44483,pay_6255996b70,144.35,25.98,gateway_fee
fee_5b2ccf42ce,pay_d896c3fccf,127.21,22.9,gateway_fee
fee_56cbc7c19f,pay_805361ad2c,173.96,31.31,gateway_fee
fee_fcb818b301,pay_d4e7664016,219.68,39.54,gateway_fee
fee_739688e0b5,pay_3ec84ab83c,123.9,22.3,gateway_fee
fee_594d7a0cba,pay_67afa1b0f6,682.87,122.92,gateway_fee
fee_4bd7a7a67c,pay_5759c2bc37,18.52,3.33,gateway_fee
fee_a54f49fad9,pay_7ab4c1c29f,5.89,1.06,gateway_fee
fee_7ab7f4b4a7,pay_814a861a73,119.4,21.49,gateway_fee
fee_390b7c1281,pay_5d0ac99637,13.89,2.5,gateway_fee
fee_8a85d76cef,pay_a26fca914a,678.03,122.05,gateway_fee
fee_25249afb7c,pay_2cb359a110,300.85,54.15,gateway_fee
fee_0cc292e2fa,pay_1f30a8cba0,19.66,3.54,gateway_fee
fee_18f73853b7,pay_2d7398d82c,16.35,2.94,gateway_fee
fee_6636d0b808,pay_900bb769c2,29.73,5.35,gateway_fee
fee_b42880b3be,pay_cef90f8e30,168.42,30.32,gateway_fee
