instrument_id,type,masked_identifier,customer_id
instr_92c1225941,card,XXXX8802,cust_0073
instr_023cf68421,upi,XXXX9408,cust_0074
instr_67c94ece7a,upi,XXXX9254,cust_0075
instr_14b8860afc,netbanking,XXXX1710,cust_0076
instr_7dc411f2dd,netbanking,XXXX9543,cust_0077
instr_16b849b75e,upi,XXXX8504,cust_0077
instr_d46467b0df,card,XXXX1996,cust_0078
instr_efa00f6bbf,upi,XXXX7984,cust_0079
instr_0ec16f2b69,netbanking,XXXX2768,cust_0079
instr_7a924e7bff,upi,XXXX2204,cust_0080
instr_47bd6dcc35,upi,XXXX3430,cust_0081
instr_0cb36219dd,card,XXXX3067,cust_0081
instr_e02a4baab7,netbanking,XXXX9984,cust_0082
instr_ee47e2e786,upi,XXXX9692,cust_0083
instr_60692b40ca,upi,XXXX8433,cust_0083
instr_fdd5884b36,upi,XXXX2624,cust_0084
instr_0c957b2543,card,XXXX4522,cust_0085
instr_e958769360,upi,XXXX8398,cust_0085
instr_46749428c2,upi,XXXX6553,cust_0086
instr_6d21f0191b,upi,XXXX7532,cust_0086
instr_ccfa7011f4,card,XXXX6120,cust_0087
instr_44029a394b,netbanking,XXXX5176,cust_0088
instr_60a6b359c3,card,XXXX8770,cust_0089
instr_4a78180810,card,XXXX2527,cust_0090
instr_8dce283a6f,netbanking,XXXX7105,cust_0091
instr_c840a882fe,netbanking,XXXX1982,cust_0092
instr_66fc4e65c8,netbanking,XXXX6400,cust_0092
instr_0950f5a8c5,upi,XXXX6793,cust_0093
instr_93b111dc0a,upi,XXXX1842,cust_0094
instr_95bd9925c4,upi,XXXX6119,cust_0094
instr_7558e983cb,netbanking,XXXX9313,cust_0095
instr_32e710c0fd,netbanking,XXXX8900,cust_0096
instr_cdf0540586,card,XXXX6736,cust_0097
instr_b8d8bdf67a,upi,XXXX2882,cust_0098
instr_a5c865483d,upi,XXXX4705,cust_0098
instr_ee54e81c18,netbanking,XXXX1430,cust_0099
instr_48dd7df83d,netbanking,XXXX5381,cust_0099
instr_f931ffb10b,upi,XXXX6062,cust_0100
instr_ecee0e71fc,upi,XXXX1100,cust_0101
instr_46985b313a,card,XXXX3347,cust_0101
instr_620de02e18,upi,XXXX2140,cust_0102
instr_880ab5395c,netbanking,XXXX1502,cust_0103
instr_29dc44a7a7,netbanking,XXXX4524,cust_0104
instr_9da93e7779,upi,XXXX6585,cust_0105
instr_fc19afd1ae,upi,XXXX6314,cust_0106
instr_d2f9064a9c,netbanking,XXXX2391,cust_0107
instr_4806a4d5c8,card,XXXX3549,cust_0107
instr_623668c236,netbanking,XXXX1815,cust_0108
instr_5bdc107943,upi,XXXX8259,cust_0109
instr_5e25de8ad1,upi,XXXX8242,cust_0110
instr_5d851dd013,card,XXXX9394,cust_0111
instr_9b814e089c,upi,XXXX2816,cust_0112
instr_069db43d5f,netbanking,XXXX8972,cust_0113
instr_c5ff75eaa4,upi,XXXX1744,cust_0114
instr_b85ca2ec84,netbanking,XXXX1897,cust_0115
instr_326d50d282,upi,XXXX4460,cust_0116
instr_c3d063f32b,upi,XXXX5742,cust_0117
instr_1dc90d8a2b,upi,XXXX2965,cust_0117
instr_95c132b803,netbanking,XXXX8055,cust_0118
instr_19a87cad85,upi,XXXX9725,cust_0119
instr_8ad5459860,netbanking,XXXX6802,cust_0120
instr_f7e430f96b,card,XXXX7505,cust_0120
instr_3c439bb5d0,card,XXXX8147,cust_0121
instr_7338929ea3,card,XXXX8532,cust_0121
instr_b4f9aa0ec1,upi,XXXX8033,cust_0122
instr_d2fecb986f,netbanking,XXXX7626,cust_0122
instr_8332b7bdeb,upi,XXXX5743,cust_0123
instr_a954a441c2,card,XXXX7636,cust_0123
instr_9eaa4bef4d,upi,XXXX3815,cust_0124
instr_880da59236,netbanking,XXXX8538,cust_0125
instr_dbc66ade92,netbanking,XXXX6928,cust_0125
instr_369121eeee,card,XXXX4986,cust_0126
instr_1704f27af6,upi,XXXX9584,cust_0127
instr_033a3dbcf9,upi,XXXX6562,cust_0128
instr_232a9d11c8,card,XXXX2251,cust_0129
instr_ea101ee691,card,XXXX9693,cust_0130
instr_0082cb2fb1,upi,XXXX6752,cust_0131
instr_1c93cc69bd,netbanking,XXXX3419,cust_0132
instr_9f899c2b91,card,XXXX2684,cust_0132
instr_eb7fdaeef1,card,XXXX3842,cust_0133
instr_6b13cc55ad,netbanking,XXXX2234,cust_0134
instr_bbef7f6559,netbanking,XXXX9095,cust_0135
instr_1f768a0aaa,netbanking,XXXX8354,cust_0136
instr_6bfb5a08e0,netbanking,XXXX6295,cust_0137
instr_49feb9ee08,netbanking,XXXX6179,cust_0138
instr_c5ca586c43,card,XXXX8205,cust_0138
instr_f74814177d,upi,XXXX5961,cust_0139
instr_7974b4ddc4,netbanking,XXXX1920,cust_0140
instr_e7d39f4969,upi,XXXX9312,cust_0140
instr_ca9b461349,upi,XXXX8404,cust_0141
instr_dcb5873e8b,upi,XXXX5703,cust_0142
instr_e4247d1085,card,XXXX9307,cust_0143
instr_8c83c4c84f,netbanking,XXXX1672,cust_0144
instr_5b12865b2f,netbanking,XXXX4084,cust_0145
instr_9097ce69ca,upi,XXXX9214,cust_0146
instr_f2eaa2a3e7,card,XXXX8381,cust_0147
instr_90cfcba4ea,upi,XXXX2381,cust_0148
instr_95d0247375,card,XXXX1641,cust_0149
instr_84578e51ec,upi,XXXX8199,cust_0150
instr_502cbc92ab,netbanking,XXXX3600,cust_0151
instr_2e351d7879,upi,XXXX7347,cust_0152
instr_c3c766f45c,upi,XXXX1857,cust_0153
instr_6122bf15b3,netbanking,XXXX6482,cust_0154
instr_b8c3a11311,card,XXXX6401,cust_0154
instr_6b7d0e205e,netbanking,XXXX7333,cust_0155
instr_ddef8a9819,netbanking,XXXX3463,cust_0156
instr_b35d367647,netbanking,XXXX3317,cust_0157
instr_55e74759bf,upi,XXXX7421,cust_0158
instr_cdcc0b9e18,card,XXXX2388,cust_0158
instr_0e2a87c8ba,upi,XXXX6381,cust_0159
instr_4386fc64c3,netbanking,XXXX9624,cust_0160
instr_2792d782ed,card,XXXX7937,cust_0160
instr_8822788ad8,card,XXXX6940,cust_0161
instr_4b6f74dde2,card,XXXX6598,cust_0162
instr_af08a28b86,upi,XXXX4145,cust_0163
instr_a0aaee9bbe,card,XXXX3253,cust_0163
instr_71eb2c1ffc,upi,XXXX2657,cust_0164
instr_897d9029a2,netbanking,XXXX9626,cust_0165
instr_e6f38c0135,upi,XXXX3147,cust_0166
instr_659117e20e,card,XXXX3658,cust_0167
instr_db5459e137,netbanking,XXXX3712,cust_0168
instr_7e30bed91e,card,XXXX7731,cust_0169
instr_d15a45a8d6,upi,XXXX4891,cust_0169
instr_4154d3e102,netbanking,XXXX5668,cust_0170
instr_ff3239f059,netbanking,XXXX8355,cust_0170
instr_954d1e96f7,card,XXXX6070,cust_0171
instr_c13daf044a,upi,XXXX4178,cust_0172
instr_bc412936be,upi,XXXX8218,cust_0172
instr_0883157c0f,upi,XXXX7256,cust_0173
instr_d528354e0f,upi,XXXX3655,cust_0174
instr_f8265eb314,netbanking,XXXX3267,cust_0175
instr_88d13e88ea,upi,XXXX1854,cust_0175
instr_95effc63c0,upi,XXXX2680,cust_0176
instr_f2841adb67,netbanking,XXXX3042,cust_0177
instr_4c2ece8c4a,upi,XXXX2374,cust_0177
instr_4a85103c58,upi,XXXX8361,cust_0178
instr_5a5d398c0a,netbanking,XXXX3414,cust_0178
instr_0cc41b37de,card,XXXX4637,cust_0179
instr_556087b6ba,upi,XXXX6727,cust_0179
instr_3aaaeceb8a,upi,XXXX1872,cust_0180
instr_e0642c0dc6,upi,XXXX9224,cust_0180
instr_711c4881e7,upi,XXXX2337,cust_0181
instr_8119872294,card,XXXX6221,cust_0182
instr_b17bd5c668,netbanking,XXXX6493,cust_0183
instr_6b5a543a7c,card,XXXX3254,cust_0183
instr_7f3612b7c1,upi,XXXX3273,cust_0184
instr_adf615071c,upi,XXXX8349,cust_0185
instr_e56525784a,netbanking,XXXX1086,cust_0185
instr_2b609735bd,card,XXXX5193,cust_0186
instr_3f6ffdaac2,card,XXXX3449,cust_0186
instr_d64d87a32a,netbanking,XXXX9647,cust_0187
instr_8c0642a246,upi,XXXX4893,cust_0188
instr_487f77fc0d,card,XXXX4906,cust_0189
instr_7d1f71ba8c,netbanking,XXXX8489,cust_0190
instr_f36a0479f6,upi,XXXX9782,cust_0191
instr_1a775c479f,netbanking,XXXX4963,cust_0192
instr_1242e66193,upi,XXXX8032,cust_0193
instr_dee3d1d0c4,card,XXXX6780,cust_0193
instr_bec6c1159f,upi,XXXX4068,cust_0194
instr_abd0d2fb08,card,XXXX9576,cust_0195
instr_9beac64880,card,XXXX9618,cust_0196
instr_cbea0ea8ca,netbanking,XXXX9312,cust_0196
instr_222ddcd4b8,netbanking,XXXX1333,cust_0197
instr_94c095d0f4,upi,XXXX8702,cust_0197
instr_31d24b5012,upi,XXXX7116,cust_0198
instr_461b2ff6d4,card,XXXX6850,cust_0199
instr_6fe7da54ee,upi,XXXX4950,cust_0200
instr_055dd0a101,netbanking,XXXX2698,cust_0200
instr_6c610704fc,netbanking,XXXX6447,cust_0201
instr_7360cb14a9,card,XXXX1726,cust_0201
instr_6976218d83,upi,XXXX3868,cust_0202
instr_5dbbb2d5cc,netbanking,XXXX8612,cust_0203
instr_87a53b20fa,netbanking,XXXX8840,cust_0203
instr_2dee773f2c,card,XXXX2033,cust_0204
instr_3eb57b7831,upi,XXXX1605,cust_0205
instr_7e39947164,upi,XXXX4302,cust_0205
instr_070d4e0714,card,XXXX1686,cust_0206
instr_292b32f6be,upi,XXXX9444,cust_0207
instr_18f695abc4,netbanking,XXXX8756,cust_0208
instr_00436b664d,netbanking,XXXX4131,cust_0209
instr_11bf708641,card,XXXX6438,cust_0210
instr_d74b706bbf,upi,XXXX8159,cust_0211
instr_11b8ec988e,netbanking,XXXX8204,cust_0212
instr_6824af1010,upi,XXXX6554,cust_0212
instr_a2aac7b6e1,upi,XXXX9151,cust_0213
instr_4fc49a1c30,upi,XXXX9507,cust_0213
instr_0d4e8f88a7,card,XXXX7955,cust_0214
instr_2fa6c904c1,netbanking,XXXX3956,cust_0215
instr_3d1e10e9e5,upi,XXXX2680,cust_0216
instr_e9b1890c2c,netbanking,XXXX5843,cust_0217
instr_5007de7924,netbanking,XXXX7981,cust_0218
instr_e9392b2dd2,upi,XXXX6759,cust_0219
instr_aa96a60808,netbanking,XXXX6776,cust_0220
instr_d39dce618b,upi,XXXX5498,cust_0221
instr_886f4310d9,card,XXXX2229,cust_0222
instr_ad2d150c80,upi,XXXX6952,cust_0223
instr_c82e46ccb5,netbanking,XXXX3621,cust_0224
instr_594edd5c33,card,XXXX8179,cust_0225
instr_49cf7bb0ee,card,XXXX3068,cust_0225
instr_4d7cb6c80e,netbanking,XXXX7001,cust_0226
instr_ace5120592,netbanking,XXXX1530,cust_0227
instr_ee405bf8fe,netbanking,XXXX8371,cust_0228
instr_120c49a4c1,upi,XXXX8273,cust_0229
instr_9f4c98cc30,card,XXXX3255,cust_0229
instr_5e394251bd,upi,XXXX6150,cust_0230
instr_b41f4ef099,card,XXXX2858,cust_0231
instr_c2a655608a,card,XXXX9176,cust_0232
instr_d47ac046b1,netbanking,XXXX2929,cust_0233
instr_d48d4bd0e6,upi,XXXX8311,cust_0234
instr_5a9e7861b8,netbanking,XXXX5678,cust_0235
instr_59e89baa7f,upi,XXXX4279,cust_0236
instr_a4c0a66c5b,card,XXXX8406,cust_0237
instr_e84df31a90,netbanking,XXXX8292,cust_0238
instr_d1369ec4e1,netbanking,XXXX6236,cust_0239
instr_23f292b00e,netbanking,XXXX6692,cust_0239
instr_252064d544,netbanking,XXXX9882,cust_0240
instr_e489c58679,upi,XXXX5914,cust_0240
instr_c6e28978d3,netbanking,XXXX3852,cust_0241
instr_a278884a5f,upi,XXXX9335,cust_0241
instr_a0a603792d,card,XXXX3275,cust_0242
instr_d2ee6fe845,upi,XXXX1430,cust_0243
instr_b3625d7bd3,netbanking,XXXX7044,cust_0244
instr_a307627e0e,netbanking,XXXX3126,cust_0245
instr_adeebe43a3,card,XXXX2077,cust_0246
instr_5641c9e23c,netbanking,XXXX8842,cust_0247
instr_de3256d61b,upi,XXXX2208,cust_0248
instr_a53973f3dc,upi,XXXX2215,cust_0249
instr_e3d26852ae,netbanking,XXXX9476,cust_0250
instr_0588a60308,netbanking,XXXX3981,cust_0251
instr_e3e6a9396b,card,XXXX8088,cust_0252
instr_20e5fe792b,netbanking,XXXX1907,cust_0252
instr_7871962e27,netbanking,XXXX3507,cust_0253
instr_7f30b101aa,upi,XXXX3697,cust_0253
instr_18f7f74c9f,netbanking,XXXX4694,cust_0254
instr_525cba51c3,netbanking,XXXX5653,cust_0255
instr_a200d5bcde,upi,XXXX4216,cust_0256
instr_dbd7b746ba,netbanking,XXXX5496,cust_0256
instr_a7e8ce7ead,upi,XXXX9740,cust_0257
instr_d6e38f18f9,netbanking,XXXX3762,cust_0258
instr_61217e4fe9,netbanking,XXXX3526,cust_0259
instr_d6852961de,netbanking,XXXX6531,cust_0260
instr_6d02c1083d,netbanking,XXXX1674,cust_0261
instr_aeb838d35a,card,XXXX2330,cust_0261
instr_3d280f2f62,netbanking,XXXX5336,cust_0262
instr_9991d340a3,netbanking,XXXX7825,cust_0263
instr_3a775d97ea,card,XXXX9159,cust_0264
instr_d65598c00e,netbanking,XXXX5745,cust_0265
instr_832220cbe4,netbanking,XXXX5949,cust_0265
instr_69bd4e0aaa,netbanking,XXXX7653,cust_0266
instr_bd828603fd,card,XXXX1981,cust_0267
instr_c25f99d4db,upi,XXXX8933,cust_0268
instr_00d6ac865c,upi,XXXX3353,cust_0269
instr_b445c6b97c,netbanking,XXXX6231,cust_0270
instr_30216e9218,upi,XXXX7532,cust_0271
instr_f6030ac913,card,XXXX7070,cust_0271
instr_943724b457,card,XXXX6228,cust_0272
instr_37da342119,card,XXXX5382,cust_0273
instr_1b38863452,card,XXXX2586,cust_0274
instr_7e06bb329e,upi,XXXX7850,cust_0275
instr_470c4882ab,card,XXXX6364,cust_0276
instr_41f4e81cc0,netbanking,XXXX6123,cust_0277
instr_c924951487,card,XXXX3610,cust_0277
instr_64949b0d51,netbanking,XXXX8648,cust_0278
instr_b3527f0001,upi,XXXX9148,cust_0279
instr_5101575ff8,upi,XXXX9281,cust_0280
instr_a5a437c6b4,card,XXXX4524,cust_0281
instr_8160772c10,card,XXXX1828,cust_0282
instr_2b21aeeddb,netbanking,XXXX8710,cust_0283
instr_7163561827,card,XXXX2761,cust_0284
instr_cb2f28b794,upi,XXXX6992,cust_0285
instr_6cd5e0f035,upi,XXXX1741,cust_0286
instr_bd7cb25007,upi,XXXX1838,cust_0286
instr_4b9379f89a,card,XXXX6939,cust_0287
instr_5589fb5aed,card,XXXX7329,cust_0288
instr_9475613211,netbanking,XXXX5582,cust_0289
instr_04648c171c,netbanking,XXXX2946,cust_0290
instr_b8b97af6d4,card,XXXX2584,cust_0290
instr_2f28cba5a3,upi,XXXX6990,cust_0291
instr_c79e24f242,card,XXXX9341,cust_0292
instr_d2cc263ca3,upi,XXXX9193,cust_0292
instr_1f73229ea3,card,XXXX3245,cust_0293
instr_d53c37a8a1,upi,XXXX9508,cust_0294
instr_b705eb9cd9,upi,XXXX3440,cust_0294
instr_d2073c81d1,netbanking,XXXX3290,cust_0295
instr_1bb4a997ad,netbanking,XXXX6218,cust_0296
instr_458a4e2136,netbanking,XXXX5902,cust_0297
instr_ff72681380,netbanking,XXXX9351,cust_0298
instr_b6adb89e4f,netbanking,XXXX5911,cust_0299
instr_1b9437bfa3,card,XXXX7035,cust_0300
instr_7b93a731f3,card,XXXX7824,cust_0301
instr_c79877b672,netbanking,XXXX1436,cust_0302
instr_fa80695e44,upi,XXXX4728,cust_0303
instr_4f55fb4721,netbanking,XXXX8871,cust_0304
instr_5a724de6a7,card,XXXX9589,cust_0304
instr_308a24eec0,netbanking,XXXX7229,cust_0305
instr_686db9b8fe,netbanking,XXXX4968,cust_0306
instr_03736f88de,netbanking,XXXX2800,cust_0307
instr_1adc0d0877,upi,XXXX6139,cust_0308
instr_53dcd4cea6,upi,XXXX4340,cust_0309
instr_b184016597,netbanking,XXXX8726,cust_0310
instr_20414c247a,netbanking,XXXX2020,cust_0311
instr_1b319eca7a,netbanking,XXXX3262,cust_0311
instr_f7f895655b,netbanking,XXXX6325,cust_0312
instr_74a3534b29,upi,XXXX9609,cust_0313
instr_2a5be053cd,upi,XXXX6140,cust_0313
instr_9a1dab3c64,upi,XXXX9734,cust_0314
instr_a447a6eab0,upi,XXXX9950,cust_0314
instr_bf702cefd5,netbanking,XXXX5331,cust_0315
instr_e3b3e632bd,card,XXXX5038,cust_0316
instr_f4a639ef3e,upi,XXXX4684,cust_0317
instr_a44a7218e2,upi,XXXX5735,cust_0318
instr_b6a3dcec06,netbanking,XXXX4396,cust_0318
instr_be83322a2d,upi,XXXX6194,cust_0319
instr_ac9bb5f1b4,netbanking,XXXX5480,cust_0320
instr_a4ad02fdfa,netbanking,XXXX9899,cust_0321
instr_8ac58fe007,upi,XXXX6654,cust_0322
instr_4a88d7749d,card,XXXX5758,cust_0323
instr_f64b53f8d3,card,XXXX5712,cust_0323
instr_edd370b623,card,XXXX6674,cust_0324
instr_f3f89aed09,upi,XXXX5201,cust_0324
instr_52bb606954,card,XXXX4310,cust_0325
instr_fac34b3890,netbanking,XXXX5442,cust_0325
instr_8eca428d98,netbanking,XXXX5450,cust_0326
instr_8ce25d4ca6,card,XXXX2789,cust_0326
instr_c464a97dd2,netbanking,XXXX4920,cust_0327
instr_5e1b751d97,netbanking,XXXX9700,cust_0328
instr_2ef3343cd3,card,XXXX1860,cust_0329
instr_0a87168a0f,upi,XXXX8739,cust_0330
instr_44e794c273,card,XXXX1084,cust_0331
instr_83375282d4,card,XXXX7666,cust_0332
instr_edafae67f8,netbanking,XXXX8793,cust_0332
instr_b9c92eaaf1,card,XXXX5706,cust_0333
instr_f5cc859d93,netbanking,XXXX1969,cust_0334
instr_076110f4e5,card,XXXX4804,cust_0335
instr_b74da0e4fc,netbanking,XXXX1611,cust_0335
instr_1b4a02ccb5,card,XXXX7846,cust_0336
instr_a31bcf038a,card,XXXX1595,cust_0336
instr_aac572eda6,upi,XXXX9116,cust_0337
instr_f80ac4ffb5,card,XXXX5742,cust_0337
instr_44d5d6aabb,card,XXXX5888,cust_0338
instr_a605cf1a2d,netbanking,XXXX2758,cust_0338
instr_a97d884173,upi,XXXX5662,cust_0339
instr_9d535b4ea8,upi,XXXX9901,cust_0339
instr_57f235fd02,card,XXXX9261,cust_0340
instr_0f564aadc0,card,XXXX2845,cust_0341
instr_253fa0f1a1,netbanking,XXXX8518,cust_0342
instr_23eda7f247,netbanking,XXXX4050,cust_0343
instr_350eba6240,upi,XXXX5833,cust_0344
instr_b854d72dd1,card,XXXX3875,cust_0345
instr_99a7ab4a95,netbanking,XXXX7643,cust_0346
instr_fa0260f27d,netbanking,XXXX6372,cust_0347
instr_795587a65a,card,XXXX7567,cust_0347
instr_ce108162ea,card,XXXX3303,cust_0348
instr_be2d4a7eda,card,XXXX1111,cust_0349
instr_c8a3bffee4,card,XXXX8319,cust_0350
instr_b186657d3d,upi,XXXX5947,cust_0351
instr_134990f921,netbanking,XXXX1187,cust_0351
instr_9465c67263,upi,XXXX4871,cust_0352
instr_8f96c4e517,card,XXXX8625,cust_0353
instr_ec52d7965a,upi,XXXX9233,cust_0354
instr_09e6ae6b43,netbanking,XXXX6095,cust_0355
instr_6d30ab77c7,netbanking,XXXX2923,cust_0355
instr_2f959111b8,upi,XXXX7021,cust_0356
instr_119f394ecb,card,XXXX3188,cust_0357
instr_f23d99f798,upi,XXXX7121,cust_0358
instr_b836413fca,netbanking,XXXX8714,cust_0359
instr_a53093c013,netbanking,XXXX4578,cust_0360
instr_07e17e18d8,card,XXXX2341,cust_0360
instr_81ecee7a5c,netbanking,XXXX6927,cust_0361
instr_2d86366648,netbanking,XXXX2838,cust_0362
instr_85f42a0a16,netbanking,XXXX9281,cust_0363
instr_ab8e7f0671,netbanking,XXXX3455,cust_0364
instr_a69f5d2a6b,netbanking,XXXX8239,cust_0365
instr_e98a2c06e2,card,XXXX9008,cust_0366
instr_7f8f42a286,netbanking,XXXX8298,cust_0367
instr_6644e895a9,upi,XXXX3161,cust_0368
instr_43caf33071,netbanking,XXXX7806,cust_0368
instr_9e4725adec,card,XXXX8575,cust_0369
instr_5c9094f73a,upi,XXXX1356,cust_0370
instr_05ebabc8af,card,XXXX4570,cust_0371
instr_8f31c8289f,card,XXXX7941,cust_0372
instr_0af3140d00,card,XXXX9866,cust_0373
instr_60662507a2,card,XXXX8734,cust_0374
instr_787576ae93,card,XXXX5703,cust_0374
instr_5107a4101f,card,XXXX7887,cust_0375
instr_29e5f695d5,upi,XXXX8348,cust_0376
instr_77b44111f3,upi,XXXX7154,cust_0377
instr_7f5a999adf,card,XXXX9835,cust_0377
instr_2f9607a972,upi,XXXX2943,cust_0378
instr_ddf819e101,netbanking,XXXX7439,cust_0379
instr_91ee6b25bf,netbanking,XXXX4648,cust_0380
instr_8d10272260,card,XXXX5888,cust_0381
instr_1250c16c64,upi,XXXX9920,cust_0381
instr_70d974c63d,upi,XXXX4762,cust_0382
instr_2d061b8a54,upi,XXXX3541,cust_0383
instr_a70ca497a4,netbanking,XXXX2848,cust_0384
instr_98e18a3308,netbanking,XXXX7868,cust_0385
instr_12f81ae755,card,XXXX4943,cust_0386
instr_56d96579c7,card,XXXX1550,cust_0387
instr_fc5b776692,netbanking,XXXX1797,cust_0388
instr_1eb9ebce1d,card,XXXX7590,cust_0389
instr_8d8a209d14,netbanking,XXXX4559,cust_0390
instr_1a0db7db25,card,XXXX3295,cust_0391
instr_91b819740a,netbanking,XXXX5739,cust_0391
instr_725532bb61,netbanking,XXXX6224,cust_0392
instr_d7f906a9f8,netbanking,XXXX6253,cust_0393
instr_776980baed,card,XXXX9540,cust_0394
instr_5b4296737c,upi,XXXX5508,cust_0395
instr_0ae5502ea1,netbanking,XXXX3869,cust_0396
instr_11bbd3295a,upi,XXXX9120,cust_0397
instr_0808398160,upi,XXXX7244,cust_0398
instr_94fff5f486,upi,XXXX7821,cust_0399
instr_046373e8cc,upi,XXXX3444,cust_0399
