payment_id,order_id,customer_id,merchant_id,device_id,instrument_id,amount,currency,status,failure_reason,created_at,authorized_at,captured_at
pay_6ef185ed41,ord_d3566040ec,cust_0075,merch_020,dev_0292,instr_67c94ece7a,430.73,INR,success,,2026-08-08T04:36:49,2026-08-08T04:36:50,2026-08-08T04:36:53
pay_45fddd41fd,ord_e864a42403,cust_0075,merch_020,dev_0292,instr_67c94ece7a,437.35,INR,success,,2026-08-08T04:39:49,2026-08-08T04:39:50,2026-08-08T04:39:59
pay_cc13ca58e5,ord_996e633034,cust_0075,merch_020,dev_0292,instr_67c94ece7a,418.45,INR,success,,2026-08-08T04:56:49,2026-08-08T04:56:50,2026-08-08T04:56:55
pay_142476e162,ord_a92e28caa1,cust_0075,merch_020,dev_0292,instr_67c94ece7a,414.92,INR,failed,insufficient_funds,2026-08-08T04:32:49,,
pay_a5992c47b1,ord_9e1fb02208,cust_0261,merch_019,dev_0079,instr_aeb838d35a,914.74,INR,success,,2026-08-07T06:12:19,2026-08-07T06:12:21,2026-08-07T06:12:23
pay_10a756e996,ord_79889e13f7,cust_0367,merch_019,dev_0079,instr_7f8f42a286,924.47,INR,success,,2026-08-07T06:00:19,2026-08-07T06:00:21,2026-08-07T06:00:23
pay_5d73bf7b12,ord_9ca5801723,cust_0256,merch_019,dev_0079,instr_dbd7b746ba,904.51,INR,failed,timeout,2026-08-07T06:17:19,,
pay_c22cc077be,ord_2bd946e465,cust_0256,merch_019,dev_0079,instr_dbd7b746ba,929.9,INR,success,,2026-08-07T06:06:19,2026-08-07T06:06:24,2026-08-07T06:06:31
pay_8a8b363590,ord_eb2bfe148c,cust_0261,merch_019,dev_0079,instr_aeb838d35a,844.81,INR,success,,2026-08-07T06:15:19,2026-08-07T06:15:24,2026-08-07T06:15:29
pay_e3ecbe96b0,ord_4cd13adf86,cust_0150,merch_019,dev_0079,instr_84578e51ec,919.87,INR,success,,2026-08-07T05:43:19,2026-08-07T05:43:21,2026-08-07T05:43:28
pay_cde0c881c3,ord_bb2f837a62,cust_0256,merch_019,dev_0079,instr_a200d5bcde,869.71,INR,failed,insufficient_funds,2026-08-07T05:43:19,,
pay_e55a68bb2d,ord_f4873dc477,cust_0256,merch_019,dev_0079,instr_a200d5bcde,832.93,INR,success,,2026-08-07T05:43:19,2026-08-07T05:43:24,2026-08-07T05:43:33
pay_dd0535bcec,ord_d420cf753c,cust_0367,merch_019,dev_0079,instr_7f8f42a286,876.45,INR,success,,2026-08-07T05:39:19,2026-08-07T05:39:20,2026-08-07T05:39:30
pay_ae31ac33d4,ord_113d36679d,cust_0244,merch_014,dev_0141,instr_b3625d7bd3,1702.37,INR,success,,2026-08-19T06:34:19,2026-08-19T06:34:21,2026-08-19T06:34:28
pay_5fe89a1a02,ord_6812bacbc5,cust_0141,merch_014,dev_0141,instr_ca9b461349,1535.41,INR,success,,2026-08-19T06:18:19,2026-08-19T06:18:20,2026-08-19T06:18:23
pay_056db81f05,ord_aef010995f,cust_0244,merch_014,dev_0141,instr_b3625d7bd3,1571.17,INR,failed,timeout,2026-08-19T06:18:19,,
pay_82d2811046,ord_8c7543e45a,cust_0141,merch_014,dev_0141,instr_ca9b461349,1687.18,INR,success,,2026-08-19T06:30:19,2026-08-19T06:30:21,2026-08-19T06:30:26
pay_2fe06478ef,ord_423b448b46,cust_0126,merch_014,dev_0141,instr_369121eeee,1746.6,INR,failed,timeout,2026-08-19T06:20:19,,
pay_d4ac3fbb6e,ord_56164007b0,cust_0215,merch_014,dev_0141,instr_2fa6c904c1,1611.49,INR,success,,2026-08-19T06:40:19,2026-08-19T06:40:24,2026-08-19T06:40:28
pay_8f1c724961,ord_f97737a92d,cust_0244,merch_014,dev_0141,instr_b3625d7bd3,1581.13,INR,success,,2026-08-19T06:24:19,2026-08-19T06:24:23,2026-08-19T06:24:33
pay_a1bd912ef3,ord_9fb0300702,cust_0141,merch_014,dev_0141,instr_ca9b461349,1584.18,INR,success,,2026-08-19T06:16:19,2026-08-19T06:16:24,2026-08-19T06:16:28
pay_7171c93680,ord_e9d1a56897,cust_0250,merch_014,dev_0141,instr_e3d26852ae,1759.23,INR,failed,insufficient_funds,2026-08-19T06:10:19,,
pay_ef36354524,ord_82e861ec64,cust_0141,merch_014,dev_0141,instr_ca9b461349,1613.53,INR,failed,issuer_declined,2026-08-19T06:17:19,,
pay_aba0975df6,ord_a4af75d019,cust_0318,merch_009,dev_0394,instr_a44a7218e2,542.01,INR,success,,2026-08-27T18:07:49,2026-08-27T18:07:54,2026-08-27T18:08:02
pay_87c13cc7b7,ord_53861a2e98,cust_0394,merch_009,dev_0394,instr_776980baed,526.85,INR,success,,2026-08-27T18:27:49,2026-08-27T18:27:52,2026-08-27T18:28:01
pay_a80c0da1f7,ord_1304b13ea5,cust_0164,merch_009,dev_0394,instr_71eb2c1ffc,491.22,INR,success,,2026-08-27T17:58:49,2026-08-27T17:58:54,2026-08-27T17:58:55
pay_c0e7295d36,ord_8c5de00544,cust_0394,merch_009,dev_0394,instr_776980baed,563.11,INR,success,,2026-08-27T18:04:49,2026-08-27T18:04:50,2026-08-27T18:04:55
pay_4d8f270a52,ord_2dbb5bdcfe,cust_0318,merch_009,dev_0394,instr_a44a7218e2,524.87,INR,success,,2026-08-27T18:16:49,2026-08-27T18:16:53,2026-08-27T18:17:01
pay_54d3fd088b,ord_b82978978d,cust_0318,merch_009,dev_0394,instr_b6a3dcec06,510.97,INR,success,,2026-08-27T17:44:49,2026-08-27T17:44:53,2026-08-27T17:44:55
pay_27f7c51797,ord_7a1129c3e4,cust_0164,merch_009,dev_0394,instr_71eb2c1ffc,551.75,INR,success,,2026-08-27T17:52:49,2026-08-27T17:52:53,2026-08-27T17:52:57
pay_252660f33c,ord_99b4a38486,cust_0394,merch_009,dev_0394,instr_776980baed,511.25,INR,success,,2026-08-27T17:49:49,2026-08-27T17:49:53,2026-08-27T17:49:59
pay_8563d2749f,ord_f3b7835515,cust_0164,merch_009,dev_0394,instr_71eb2c1ffc,507.23,INR,success,,2026-08-27T18:28:49,2026-08-27T18:28:52,2026-08-27T18:28:54
pay_3e9c3bb269,ord_911cc86001,cust_0347,merch_006,dev_0347,instr_fa0260f27d,40138.6,INR,success,,2026-08-23T14:21:10,2026-08-23T14:21:13,2026-08-23T14:21:22
pay_8270cf5f8f,ord_947e252bd6,cust_0219,merch_015,dev_0219,instr_e9392b2dd2,667.07,INR,success,,2026-07-22T09:48:13,2026-07-22T09:48:17,2026-07-22T09:48:24
pay_b532968c0a,ord_8adbcf2b53,cust_0015,merch_024,dev_0015,instr_c6a5c01e82,3571.91,INR,success,,2026-08-30T23:56:00,2026-08-30T23:56:02,2026-08-30T23:56:06
pay_118a851c25,ord_01862bc793,cust_0143,merch_025,dev_0143,instr_e4247d1085,9858.08,INR,success,,2026-08-29T13:19:05,2026-08-29T13:19:10,2026-08-29T13:19:13
pay_fa4b502e5a,ord_b285206ee8,cust_0188,merch_011,dev_0188,instr_8c0642a246,259.54,INR,success,,2026-08-21T00:34:49,2026-08-21T00:34:54,2026-08-21T00:35:01
pay_f0a73ba9ef,ord_94c5bcd46e,cust_0301,merch_004,dev_0301,instr_7b93a731f3,1283.72,INR,success,,2026-09-02T10:33:33,2026-09-02T10:33:36,2026-09-02T10:33:46
pay_b028c56a94,ord_ad37a63f5a,cust_0303,merch_003,dev_0303,instr_fa80695e44,4788.45,INR,failed,timeout,2026-07-27T15:54:53,,
pay_219e481026,ord_e43bd032aa,cust_0073,merch_017,dev_0073,instr_92c1225941,935.0,INR,success,,2026-08-29T07:23:42,2026-08-29T07:23:46,2026-08-29T07:23:55
pay_31e47c129e,ord_a614164f61,cust_0356,merch_021,dev_0356,instr_2f959111b8,18582.92,INR,success,,2026-07-20T16:49:29,2026-07-20T16:49:31,2026-07-20T16:49:37
pay_28bb81a3a5,ord_c1ca4268d6,cust_0231,merch_020,dev_0231,instr_b41f4ef099,602.65,INR,failed,issuer_declined,2026-07-05T10:19:51,,
pay_18f0817a05,ord_2ce83c0847,cust_0288,merch_017,dev_0288,instr_5589fb5aed,5795.91,INR,success,,2026-08-21T05:48:15,2026-08-21T05:48:19,2026-08-21T05:48:27
pay_60860a294c,ord_881722b010,cust_0086,merch_003,dev_0086,instr_6d21f0191b,9856.75,INR,failed,timeout,2026-07-25T21:52:15,,
pay_138b76f135,ord_f9d029babb,cust_0148,merch_006,dev_0148,instr_90cfcba4ea,7439.33,INR,success,,2026-08-21T14:09:49,2026-08-21T14:09:52,2026-08-21T14:10:01
pay_13594bd1b0,ord_ce346a088a,cust_0188,merch_018,dev_0188,instr_8c0642a246,1936.91,INR,success,,2026-08-16T08:27:31,2026-08-16T08:27:32,2026-08-16T08:27:36
pay_d303abcd22,ord_4e409dc2e4,cust_0153,merch_002,dev_0153,instr_c3c766f45c,588.01,INR,success,,2026-07-12T22:41:06,2026-07-12T22:41:07,2026-07-12T22:41:11
pay_3f422e2ed7,ord_357b94ee3a,cust_0108,merch_024,dev_0108,instr_623668c236,5181.62,INR,success,,2026-09-01T18:00:47,2026-09-01T18:00:49,2026-09-01T18:00:53
pay_60e61970e1,ord_17ac7ac084,cust_0106,merch_002,dev_0106,instr_fc19afd1ae,7088.95,INR,success,,2026-08-31T10:46:45,2026-08-31T10:46:48,2026-08-31T10:46:53
pay_f397582e87,ord_a0062ac5e1,cust_0294,merch_009,dev_0294,instr_d53c37a8a1,31547.77,INR,success,,2026-07-13T17:53:26,2026-07-13T17:53:30,2026-07-13T17:53:31
pay_bb35eab940,ord_9da1c190f4,cust_0142,merch_021,dev_0142,instr_dcb5873e8b,1312.51,INR,success,,2026-07-28T17:47:24,2026-07-28T17:47:26,2026-07-28T17:47:33
pay_0b6d6ae2ec,ord_7da3a5d1ea,cust_0251,merch_005,dev_0251,instr_0588a60308,4321.53,INR,success,,2026-08-13T17:12:51,2026-08-13T17:12:52,2026-08-13T17:12:59
pay_5dbd2fbef7,ord_c1b2d866dd,cust_0264,merch_024,dev_0264,instr_3a775d97ea,1410.87,INR,success,,2026-08-09T07:59:53,2026-08-09T07:59:56,2026-08-09T08:00:06
pay_a9800bea38,ord_eb68195444,cust_0002,merch_025,dev_0184,instr_a3b08dafcc,2477.99,INR,success,,2026-08-18T00:15:51,2026-08-18T00:15:56,2026-08-18T00:16:03
pay_444ad07a31,ord_8b42812ca5,cust_0112,merch_014,dev_0112,instr_9b814e089c,6694.51,INR,success,,2026-08-04T20:19:49,2026-08-04T20:19:54,2026-08-04T20:19:57
pay_1cb33a7176,ord_da457cf72b,cust_0290,merch_016,dev_0290,instr_04648c171c,10888.62,INR,failed,issuer_declined,2026-07-09T04:48:06,,
pay_711592cb5c,ord_f4644e4b74,cust_0236,merch_001,dev_0236,instr_59e89baa7f,1300.71,INR,failed,expired,2026-08-16T08:16:14,,
pay_4a07ce129c,ord_6dae045e57,cust_0104,merch_023,dev_0178,instr_29dc44a7a7,45521.62,INR,success,,2026-08-02T19:23:51,2026-08-02T19:23:54,2026-08-02T19:23:56
pay_3f40091e4f,ord_5613f2a008,cust_0336,merch_012,dev_0336,instr_1b4a02ccb5,620.58,INR,success,,2026-07-20T13:42:05,2026-07-20T13:42:08,2026-07-20T13:42:12
pay_06a4ef5461,ord_367045bfe6,cust_0220,merch_021,dev_0220,instr_aa96a60808,233.26,INR,failed,insufficient_funds,2026-07-25T05:18:26,,
pay_e104396bdf,ord_48b12f4eb2,cust_0266,merch_022,dev_0266,instr_69bd4e0aaa,111.29,INR,success,,2026-08-06T20:35:08,2026-08-06T20:35:12,2026-08-06T20:35:15
pay_d253fe05b3,ord_1542c695c9,cust_0245,merch_003,dev_0082,instr_a307627e0e,225.06,INR,success,,2026-07-14T10:40:21,2026-07-14T10:40:24,2026-07-14T10:40:27
pay_506e5fd94e,ord_5251077c40,cust_0196,merch_025,dev_0196,instr_9beac64880,10682.22,INR,success,,2026-07-18T08:52:18,2026-07-18T08:52:19,2026-07-18T08:52:29
pay_e6210a6d50,ord_f55931438d,cust_0333,merch_006,dev_0333,instr_b9c92eaaf1,1111.4,INR,success,,2026-07-19T04:43:38,2026-07-19T04:43:42,2026-07-19T04:43:46
pay_52dad162ea,ord_93fb355577,cust_0045,merch_004,dev_0045,instr_9d0b0e733d,272.42,INR,success,,2026-08-10T18:51:33,2026-08-10T18:51:36,2026-08-10T18:51:39
pay_2b006fcdab,ord_1554930e3e,cust_0127,merch_009,dev_0127,instr_1704f27af6,4105.75,INR,success,,2026-08-31T20:25:45,2026-08-31T20:25:46,2026-08-31T20:25:51
pay_e8cfb14e85,ord_1c148dc9c5,cust_0106,merch_017,dev_0106,instr_fc19afd1ae,3480.79,INR,success,,2026-08-11T12:50:45,2026-08-11T12:50:47,2026-08-11T12:50:55
pay_46bb632827,ord_aa5afe9fc1,cust_0198,merch_004,dev_0198,instr_31d24b5012,993.32,INR,success,,2026-07-11T09:28:11,2026-07-11T09:28:14,2026-07-11T09:28:17
pay_e856bf77a9,ord_4a693e5e47,cust_0199,merch_019,dev_0199,instr_461b2ff6d4,864.9,INR,success,,2026-07-21T06:35:02,2026-07-21T06:35:03,2026-07-21T06:35:04
pay_7f4b313a2b,ord_dd3f3de8cc,cust_0301,merch_003,dev_0301,instr_7b93a731f3,402.04,INR,success,,2026-07-10T08:54:09,2026-07-10T08:54:14,2026-07-10T08:54:21
pay_162b10d395,ord_2698974edd,cust_0217,merch_023,dev_0217,instr_e9b1890c2c,996.75,INR,success,,2026-08-25T16:49:40,2026-08-25T16:49:43,2026-08-25T16:49:45
pay_f8009ca2fe,ord_a5a054a6c7,cust_0262,merch_007,dev_0262,instr_3d280f2f62,17904.33,INR,success,,2026-08-05T05:23:00,2026-08-05T05:23:01,2026-08-05T05:23:06
pay_f328c8e89d,ord_58f852c483,cust_0358,merch_014,dev_0358,instr_f23d99f798,10387.92,INR,failed,insufficient_funds,2026-07-10T02:55:50,,
pay_e2a54272e6,ord_a6fb822cda,cust_0233,merch_020,dev_0233,instr_d47ac046b1,4747.55,INR,failed,technical_failure,2026-07-21T13:17:04,,
pay_44e32fa9e5,ord_dcd49ffc12,cust_0006,merch_006,dev_0006,instr_a94351fb16,585.39,INR,success,,2026-08-23T17:12:59,2026-08-23T17:13:01,2026-08-23T17:13:06
pay_eb67f62bad,ord_d440897db4,cust_0376,merch_004,dev_0376,instr_29e5f695d5,1808.24,INR,success,,2026-08-15T04:23:55,2026-08-15T04:23:58,2026-08-15T04:24:08
pay_a43e3f8d75,ord_ad2ee9d728,cust_0322,merch_003,dev_0394,instr_8ac58fe007,815.09,INR,success,,2026-07-09T21:10:56,2026-07-09T21:10:58,2026-07-09T21:11:04
pay_2928ff2f84,ord_716329b82d,cust_0081,merch_009,dev_0081,instr_47bd6dcc35,10889.82,INR,success,,2026-07-15T16:44:48,2026-07-15T16:44:49,2026-07-15T16:44:50
pay_c3d7d29f21,ord_5ecc52de52,cust_0007,merch_008,dev_0007,instr_b8a0b47765,609.57,INR,success,,2026-07-19T01:43:21,2026-07-19T01:43:22,2026-07-19T01:43:31
pay_b1b0bab202,ord_c6a259d7d4,cust_0366,merch_024,dev_0366,instr_e98a2c06e2,3857.41,INR,success,,2026-07-28T14:29:42,2026-07-28T14:29:45,2026-07-28T14:29:50
pay_5c1aa97558,ord_83ecb8431c,cust_0040,merch_019,dev_0040,instr_08fb8332cf,802.86,INR,success,,2026-07-09T14:44:06,2026-07-09T14:44:11,2026-07-09T14:44:12
pay_3946c4ab00,ord_292ebf1344,cust_0206,merch_003,dev_0206,instr_070d4e0714,10593.34,INR,failed,insufficient_funds,2026-08-03T15:58:41,,
pay_f82d944ded,ord_a7f3ac5685,cust_0189,merch_007,dev_0189,instr_487f77fc0d,1198.31,INR,success,,2026-07-28T01:15:42,2026-07-28T01:15:46,2026-07-28T01:15:50
pay_95320fd999,ord_23acaf072f,cust_0376,merch_018,dev_0376,instr_29e5f695d5,4073.83,INR,failed,insufficient_funds,2026-07-05T02:51:41,,
pay_040768c720,ord_2de120351e,cust_0326,merch_023,dev_0326,instr_8ce25d4ca6,11485.4,INR,success,,2026-07-04T15:24:24,2026-07-04T15:24:27,2026-07-04T15:24:29
pay_6ed2f0a555,ord_4efec73de0,cust_0106,merch_017,dev_0106,instr_fc19afd1ae,27953.0,INR,success,,2026-07-10T07:33:56,2026-07-10T07:33:57,2026-07-10T07:33:58
pay_f6686cd9c4,ord_3341ab11b5,cust_0119,merch_017,dev_0119,instr_19a87cad85,1353.81,INR,success,,2026-08-18T00:17:04,2026-08-18T00:17:09,2026-08-18T00:17:12
pay_4a9f2d42c2,ord_9eb021d755,cust_0327,merch_013,dev_0327,instr_c464a97dd2,894.95,INR,success,,2026-08-15T17:35:00,2026-08-15T17:35:03,2026-08-15T17:35:09
pay_e68ffaa35f,ord_ea6a05489d,cust_0202,merch_023,dev_0202,instr_6976218d83,4925.64,INR,success,,2026-08-17T11:00:08,2026-08-17T11:00:10,2026-08-17T11:00:13
pay_57e03ab864,ord_b875342d0f,cust_0400,merch_025,dev_0400,instr_9b1d77b52b,3131.81,INR,success,,2026-07-20T11:01:17,2026-07-20T11:01:21,2026-07-20T11:01:23
pay_616b4d4148,ord_a6f8f40319,cust_0275,merch_012,dev_0275,instr_7e06bb329e,19890.18,INR,success,,2026-08-03T10:24:32,2026-08-03T10:24:33,2026-08-03T10:24:35
pay_76dbd0fb0c,ord_6fa4b1161d,cust_0081,merch_022,dev_0081,instr_47bd6dcc35,1086.59,INR,success,,2026-09-01T01:47:48,2026-09-01T01:47:51,2026-09-01T01:47:54
pay_d04274d3e4,ord_db5fd63070,cust_0047,merch_023,dev_0047,instr_adb3ca4de6,598.04,INR,success,,2026-08-23T08:26:51,2026-08-23T08:26:54,2026-08-23T08:26:57
pay_7db1e1a7f4,ord_9cce6ea7d5,cust_0016,merch_013,dev_0016,instr_53db26ca85,7337.51,INR,failed,technical_failure,2026-08-26T21:52:28,,
pay_010edef158,ord_9cb5cff422,cust_0072,merch_004,dev_0072,instr_0bc8278de2,1262.52,INR,success,,2026-07-26T01:58:08,2026-07-26T01:58:12,2026-07-26T01:58:18
pay_7afc9999f1,ord_d7c9774ef4,cust_0352,merch_021,dev_0352,instr_9465c67263,15193.5,INR,success,,2026-08-30T09:45:20,2026-08-30T09:45:21,2026-08-30T09:45:22
pay_22be6e427c,ord_f26eee9324,cust_0034,merch_007,dev_0034,instr_a9c9d9c951,28850.39,INR,success,,2026-07-17T00:06:21,2026-07-17T00:06:24,2026-07-17T00:06:26
pay_3a1916e1c9,ord_48c71d08ec,cust_0022,merch_015,dev_0022,instr_74877d71fc,1393.78,INR,success,,2026-08-15T13:19:39,2026-08-15T13:19:43,2026-08-15T13:19:50
pay_73af198dfe,ord_43045fe54e,cust_0089,merch_012,dev_0089,instr_60a6b359c3,362.01,INR,success,,2026-07-31T16:06:30,2026-07-31T16:06:31,2026-07-31T16:06:41
pay_c2e2864673,ord_8622498b6a,cust_0318,merch_020,dev_0394,instr_b6a3dcec06,513.15,INR,failed,timeout,2026-08-13T12:00:41,,
pay_4826ea0594,ord_471f15771e,cust_0071,merch_014,dev_0071,instr_6aa4a634e0,1338.51,INR,success,,2026-08-24T13:14:08,2026-08-24T13:14:13,2026-08-24T13:14:14
pay_b734627cec,ord_16fc40805b,cust_0196,merch_023,dev_0196,instr_cbea0ea8ca,862.32,INR,success,,2026-08-20T13:23:06,2026-08-20T13:23:11,2026-08-20T13:23:17
pay_b19923f580,ord_517524cb43,cust_0199,merch_009,dev_0199,instr_461b2ff6d4,546.43,INR,success,,2026-07-25T18:21:14,2026-07-25T18:21:17,2026-07-25T18:21:18
pay_2b68379960,ord_b834597a60,cust_0242,merch_017,dev_0242,instr_a0a603792d,917.58,INR,failed,authentication_failure,2026-07-27T02:22:30,,
pay_d8e878678f,ord_1e7a31de7f,cust_0137,merch_018,dev_0137,instr_6bfb5a08e0,11131.22,INR,success,,2026-07-09T22:16:35,2026-07-09T22:16:39,2026-07-09T22:16:45
pay_3d59c4f3d1,ord_44e2a85ddf,cust_0089,merch_006,dev_0089,instr_60a6b359c3,545.21,INR,success,,2026-08-08T08:01:31,2026-08-08T08:01:34,2026-08-08T08:01:44
pay_2714a19014,ord_9daadbb7bd,cust_0289,merch_005,dev_0289,instr_9475613211,3476.45,INR,success,,2026-08-21T06:58:17,2026-08-21T06:58:18,2026-08-21T06:58:20
pay_b2d3808616,ord_494a616480,cust_0029,merch_008,dev_0029,instr_7f7f5a2466,1709.24,INR,success,,2026-08-19T21:47:42,2026-08-19T21:47:47,2026-08-19T21:47:51
pay_74b402a8ce,ord_aac1b7eff7,cust_0067,merch_011,dev_0067,instr_0281c974df,11147.2,INR,failed,insufficient_funds,2026-08-04T22:00:59,,
pay_beb37b198c,ord_7e99a874f0,cust_0073,merch_025,dev_0073,instr_92c1225941,836.81,INR,success,,2026-08-08T22:15:17,2026-08-08T22:15:21,2026-08-08T22:15:31
pay_6c9fec68b8,ord_64d9240124,cust_0052,merch_011,dev_0052,instr_e7a459fb4b,291.03,INR,success,,2026-07-19T19:00:38,2026-07-19T19:00:42,2026-07-19T19:00:48
pay_6bc1db72ce,ord_11bd65e60b,cust_0090,merch_023,dev_0090,instr_4a78180810,38355.3,INR,success,,2026-09-02T02:02:44,2026-09-02T02:02:49,2026-09-02T02:02:52
pay_9d4edaac54,ord_a8aa579aae,cust_0194,merch_010,dev_0194,instr_bec6c1159f,4592.43,INR,success,,2026-07-21T18:05:25,2026-07-21T18:05:30,2026-07-21T18:05:37
pay_fc4ae9853a,ord_ea7d59aa4a,cust_0395,merch_019,dev_0395,instr_5b4296737c,943.34,INR,success,,2026-09-01T20:37:16,2026-09-01T20:37:17,2026-09-01T20:37:25
pay_31aeb3586e,ord_26fcd5cbb5,cust_0073,merch_011,dev_0073,instr_92c1225941,3998.96,INR,success,,2026-08-04T12:31:56,2026-08-04T12:31:57,2026-08-04T12:32:03
pay_81120a6841,ord_e1895db7ae,cust_0229,merch_001,dev_0229,instr_9f4c98cc30,449.36,INR,success,,2026-07-11T01:58:23,2026-07-11T01:58:24,2026-07-11T01:58:25
pay_6aaa9fbd29,ord_120988818f,cust_0025,merch_013,dev_0025,instr_10f59c8905,687.51,INR,success,,2026-07-20T15:35:47,2026-07-20T15:35:51,2026-07-20T15:35:57
pay_8d9f96d7d0,ord_7f1596435e,cust_0280,merch_013,dev_0280,instr_5101575ff8,771.28,INR,success,,2026-08-29T14:58:00,2026-08-29T14:58:01,2026-08-29T14:58:02
pay_a506e18716,ord_f105788c19,cust_0151,merch_001,dev_0151,instr_502cbc92ab,1432.33,INR,success,,2026-07-11T16:53:58,2026-07-11T16:54:02,2026-07-11T16:54:05
pay_2bb294e160,ord_28dc7aab86,cust_0375,merch_003,dev_0375,instr_5107a4101f,1357.37,INR,success,,2026-07-13T12:56:58,2026-07-13T12:57:03,2026-07-13T12:57:11
pay_db5f7e6007,ord_9115dee98b,cust_0361,merch_001,dev_0361,instr_81ecee7a5c,1015.09,INR,success,,2026-09-01T11:09:09,2026-09-01T11:09:10,2026-09-01T11:09:16
pay_ccdd7e875d,ord_ed599d0ae5,cust_0106,merch_007,dev_0106,instr_fc19afd1ae,875.76,INR,success,,2026-08-25T22:35:00,2026-08-25T22:35:03,2026-08-25T22:35:07
pay_1170b20e4c,ord_9988653fe3,cust_0050,merch_002,dev_0050,instr_7893089c6c,869.53,INR,failed,technical_failure,2026-08-21T03:59:32,,
pay_68f1118d69,ord_55b8046714,cust_0045,merch_010,dev_0045,instr_9d0b0e733d,8063.46,INR,failed,technical_failure,2026-08-20T03:14:46,,
pay_c3591db20d,ord_623fb20678,cust_0327,merch_010,dev_0327,instr_c464a97dd2,29995.68,INR,success,,2026-07-15T17:09:19,2026-07-15T17:09:23,2026-07-15T17:09:31
pay_792ca44da7,ord_efdc786906,cust_0339,merch_009,dev_0339,instr_9d535b4ea8,861.78,INR,success,,2026-07-22T10:48:16,2026-07-22T10:48:19,2026-07-22T10:48:22
pay_e2b7da42f1,ord_6e7f066fbc,cust_0229,merch_002,dev_0229,instr_9f4c98cc30,751.08,INR,success,,2026-07-26T11:10:57,2026-07-26T11:10:59,2026-07-26T11:11:01
