settlement_id,merchant_id,settlement_date,gross_amount,fee_amount,tax_amount,net_amount
sett_b2344ed7d1,merch_022,2026-08-10T00:00:00,6981.46,139.63,25.13,6816.7
sett_6ad4d3f8c6,merch_008,2026-09-01T00:00:00,15185.07,303.7,54.67,14826.7
sett_e16f61002a,merch_017,2026-07-25T00:00:00,45771.77,915.43,164.78,44691.56
sett_63fd35a200,merch_013,2026-08-28T00:00:00,5838.9,116.78,21.02,5701.1
sett_846a73cbb2,merch_009,2026-08-13T00:00:00,33950.74,679.01,122.22,33149.51
sett_c89766145f,merch_023,2026-08-23T00:00:00,20789.43,415.79,74.84,20298.8
sett_b2a9a51323,merch_022,2026-07-06T00:00:00,3187.75,63.76,11.48,3112.51
sett_1b522e6aff,merch_003,2026-07-13T00:00:00,1393.41,27.87,5.02,950.04
sett_ce36589175,merch_022,2026-07-24T00:00:00,50916.18,1018.33,183.3,35157.51
sett_cc124c590e,merch_008,2026-08-09T00:00:00,9201.29,184.03,33.13,8984.13
sett_9c1dfe9f9e,merch_025,2026-08-13T00:00:00,2288.76,45.77,8.23,2234.76
sett_182f4644d4,merch_010,2026-08-31T00:00:00,7595.5,151.91,27.34,7416.25
sett_ccced63064,merch_007,2026-07-05T00:00:00,665.54,13.31,2.4,649.83
sett_191d42a119,merch_003,2026-07-16T00:00:00,575.95,11.52,2.07,562.36
sett_6c8f9696ce,merch_015,2026-07-29T00:00:00,33400.41,668.01,120.24,32612.16
sett_d56aa9148c,merch_001,2026-08-11T00:00:00,460.95,9.22,1.66,450.07
sett_a9d1851e6f,merch_012,2026-07-31T00:00:00,113.61,2.27,0.41,110.93
sett_895b0c93ae,merch_018,2026-08-08T00:00:00,30109.11,602.18,108.39,29398.54
sett_80b8b3c6c9,merch_007,2026-08-09T00:00:00,10281.51,205.63,37.01,10038.87
sett_32d14a1768,merch_022,2026-08-27T00:00:00,109.27,2.19,0.39,106.69
sett_9d43c9403b,merch_016,2026-08-30T00:00:00,10750.37,215.01,38.7,10496.66
sett_43cb21055d,merch_008,2026-08-25T00:00:00,2846.58,56.93,10.25,2779.4
sett_77a67ae046,merch_012,2026-07-22T00:00:00,1060.87,21.22,3.82,1035.83
sett_fa8400380b,merch_023,2026-08-11T00:00:00,1440.84,28.81,5.19,1406.84
sett_4fce725754,merch_018,2026-09-03T00:00:00,477.17,9.54,1.72,465.91
sett_66cbc2abe8,merch_014,2026-08-13T00:00:00,5409.25,108.19,19.47,5281.59
sett_6bcbb2ce47,merch_022,2026-07-31T00:00:00,1990.53,39.81,7.17,1943.55
sett_9b9afc242a,merch_024,2026-07-22T00:00:00,2539.54,50.79,9.14,2479.61
sett_ba23776477,merch_011,2026-08-29T00:00:00,54643.56,1092.87,196.71,53353.98
sett_8e200e24c6,merch_009,2026-08-18T00:00:00,981.81,19.64,3.54,958.63
sett_87cc12bbc4,merch_009,2026-08-08T00:00:00,9645.97,192.92,34.73,8741.85
sett_086c7a1bbf,merch_010,2026-08-21T00:00:00,3835.64,76.71,13.81,3745.12
sett_a795e05dc4,merch_015,2026-07-21T00:00:00,3020.91,60.42,10.88,2949.61
sett_3027f66346,merch_003,2026-08-04T00:00:00,696.45,13.93,2.51,680.01
sett_63c0612446,merch_013,2026-08-09T00:00:00,68526.36,1370.53,246.7,55143.47
sett_99c065eb12,merch_024,2026-07-13T00:00:00,452.31,9.05,1.63,441.63
sett_c29a7cd6cf,merch_021,2026-07-27T00:00:00,26814.16,536.28,96.53,26181.35
sett_d55a7bc88d,merch_017,2026-08-09T00:00:00,2113.28,42.27,7.61,2063.4
sett_1775a60725,merch_017,2026-08-08T00:00:00,7104.73,142.09,25.58,6937.06
sett_58f2a72f5f,merch_012,2026-07-06T00:00:00,1012.68,20.25,3.64,988.79
sett_1d3697de66,merch_016,2026-08-22T00:00:00,1062.88,21.26,3.83,1037.79
sett_de3103ff8e,merch_008,2026-07-23T00:00:00,7256.23,145.12,26.12,7084.99
sett_2cf4c636f4,merch_006,2026-08-11T00:00:00,9462.26,189.25,34.07,4008.02
sett_f394b6b8b8,merch_007,2026-08-02T00:00:00,3415.28,68.31,12.3,3334.67
sett_2840af7f1a,merch_004,2026-08-17T00:00:00,275.05,5.5,0.99,268.56
sett_fa5c416c98,merch_025,2026-08-12T00:00:00,35008.59,700.17,126.03,34182.39
sett_736cde8e2c,merch_013,2026-07-29T00:00:00,2780.6,55.61,10.01,2714.98
sett_774f13a63d,merch_002,2026-07-14T00:00:00,1129.45,22.59,4.07,1102.79
sett_9b9717d967,merch_021,2026-08-27T00:00:00,9319.61,186.39,33.55,9099.67
sett_79205092ab,merch_002,2026-07-16T00:00:00,4985.7,99.72,17.95,4010.56
sett_46bcad43a7,merch_009,2026-07-29T00:00:00,5655.99,113.12,20.36,-133.48
sett_241ce954c9,merch_020,2026-07-29T00:00:00,33943.42,678.87,122.19,33142.36
sett_1a215e5897,merch_005,2026-08-16T00:00:00,155.28,3.11,0.56,151.61
sett_78e752797e,merch_006,2026-08-19T00:00:00,553.15,11.06,1.99,540.1
sett_03b968126b,merch_003,2026-07-31T00:00:00,729.14,14.58,2.62,711.94
sett_ddec9f2751,merch_007,2026-08-28T00:00:00,796.57,15.93,2.87,777.77
sett_4e25437ba6,merch_007,2026-07-08T00:00:00,368.26,7.37,1.33,359.56
sett_be5ee2ea6a,merch_016,2026-08-19T00:00:00,43618.95,872.38,157.03,42589.54
sett_aa39a488b0,merch_006,2026-07-15T00:00:00,7360.49,147.21,26.5,7186.78
sett_85c6a97ec4,merch_018,2026-08-18T00:00:00,21655.39,433.11,77.96,21144.32
sett_5092cad0d5,merch_005,2026-07-29T00:00:00,8301.98,166.04,29.88,2822.71
sett_970cc6c7ea,merch_013,2026-07-12T00:00:00,3783.09,75.66,13.62,3693.81
sett_58fd5e15e0,merch_003,2026-08-06T00:00:00,18840.24,376.8,67.83,18395.61
sett_d1ba04fb08,merch_025,2026-09-01T00:00:00,1013.89,20.28,3.65,989.96
sett_f4149d5fcb,merch_017,2026-07-20T00:00:00,855.9,17.12,3.08,315.9
sett_2ba9b07568,merch_022,2026-08-17T00:00:00,5625.27,112.51,20.25,5492.51
sett_c02ce01898,merch_025,2026-08-21T00:00:00,9501.35,190.03,34.21,5723.4
sett_883d1af1c3,merch_019,2026-08-15T00:00:00,3487.78,69.76,12.56,3405.46
sett_bb9695a924,merch_021,2026-08-08T00:00:00,763.04,15.27,2.75,745.02
sett_a1514d3d1a,merch_007,2026-07-13T00:00:00,3137.91,62.76,11.3,3063.85
sett_46def8598e,merch_024,2026-08-25T00:00:00,385.32,7.71,1.39,376.22
sett_44af6bd796,merch_023,2026-08-25T00:00:00,5454.37,109.09,19.64,2978.29
sett_c470ea3324,merch_023,2026-07-06T00:00:00,2057.4,41.15,7.41,1564.83
sett_9785990c64,merch_001,2026-08-12T00:00:00,1336.76,26.74,4.81,1305.21
sett_94c441d7a3,merch_016,2026-07-23T00:00:00,7081.39,141.63,25.49,6914.27
sett_79abe2e2ca,merch_001,2026-08-04T00:00:00,11250.85,225.01,40.5,10985.34
sett_94fb716770,merch_022,2026-07-28T00:00:00,975.32,19.51,3.51,952.3
sett_8fbcba1ed0,merch_018,2026-08-07T00:00:00,29060.45,581.21,104.62,28374.62
sett_4a49dec157,merch_022,2026-07-27T00:00:00,8068.01,161.36,29.04,7877.61
sett_94a14ede7d,merch_020,2026-07-25T00:00:00,859.13,17.18,3.09,838.86
sett_96f1209c29,merch_023,2026-07-18T00:00:00,6999.96,140.0,25.2,6834.76
sett_0726b338bd,merch_011,2026-07-16T00:00:00,846.15,16.92,3.05,826.18
sett_f59d750afe,merch_007,2026-09-02T00:00:00,358.65,7.17,1.29,350.19
sett_95346a01c1,merch_023,2026-08-12T00:00:00,3431.75,68.64,12.36,3350.75
sett_cdc9a3694f,merch_002,2026-07-31T00:00:00,1456.34,29.13,5.24,1421.97
sett_3707be79f9,merch_006,2026-09-03T00:00:00,49805.26,996.11,179.3,48629.85
sett_567a667915,merch_017,2026-07-09T00:00:00,8893.18,177.86,32.01,8683.31
sett_1ceb482744,merch_018,2026-08-28T00:00:00,1129.24,22.58,4.06,1102.6
sett_8ead917566,merch_015,2026-08-02T00:00:00,9767.93,195.36,35.17,295.85
sett_fdd5956f30,merch_019,2026-07-18T00:00:00,39892.82,797.86,143.61,38951.35
sett_91f4ff583a,merch_003,2026-08-24T00:00:00,1860.5,37.21,6.69,1816.6
sett_089b5a0dd6,merch_010,2026-08-17T00:00:00,1176.08,23.52,4.23,1148.33
sett_bc92c8a285,merch_001,2026-08-19T00:00:00,5415.79,108.31,19.5,5287.98
sett_1f596e06b9,merch_012,2026-08-30T00:00:00,1295.36,25.91,4.66,1264.79
sett_9bf9d2311b,merch_014,2026-08-02T00:00:00,18725.37,374.5,67.41,18283.46
sett_b12461762f,merch_003,2026-08-11T00:00:00,4889.63,97.79,17.6,4774.24
sett_6b03466cf0,merch_016,2026-08-01T00:00:00,1072.47,21.45,3.86,1047.16
sett_2f3e67e8da,merch_007,2026-08-25T00:00:00,2647.67,52.95,9.53,2585.19
sett_80eba03e9c,merch_020,2026-08-30T00:00:00,4226.43,84.53,15.22,2369.6
sett_46d62caac7,merch_017,2026-07-22T00:00:00,6868.2,137.37,24.73,6706.1
sett_aa2bcbaf05,merch_001,2026-07-25T00:00:00,1215.43,24.31,4.38,501.33
sett_2a69322624,merch_021,2026-08-01T00:00:00,996.87,19.94,3.59,973.34
sett_f6d811dcb6,merch_018,2026-08-06T00:00:00,873.27,17.46,3.14,852.67
sett_753b659872,merch_006,2026-08-21T00:00:00,2620.74,52.42,9.43,2558.89
sett_51b57a68c7,merch_021,2026-08-07T00:00:00,2159.79,43.2,7.77,2108.82
sett_5a3a37274d,merch_010,2026-08-28T00:00:00,9657.61,193.15,34.77,9429.69
sett_8ec5833c6d,merch_004,2026-08-05T00:00:00,9391.17,187.82,33.81,9169.54
sett_2cea2f2903,merch_012,2026-07-26T00:00:00,1431.02,28.62,5.15,1397.25
sett_741927bb0b,merch_007,2026-07-07T00:00:00,28863.42,577.27,103.91,28182.24
sett_7a42664ed5,merch_016,2026-08-06T00:00:00,6998.09,139.96,25.19,6832.94
sett_9d4afeb28a,merch_025,2026-08-05T00:00:00,1900.64,38.01,6.85,1855.78
sett_c987063b26,merch_002,2026-08-15T00:00:00,9361.34,187.23,33.7,9140.41
sett_ae47feab43,merch_023,2026-08-04T00:00:00,7971.31,159.43,28.7,7783.18
sett_5d1b8c96e7,merch_008,2026-07-30T00:00:00,1353.98,27.08,4.87,1322.03
sett_963a1774aa,merch_016,2026-08-08T00:00:00,765.47,15.31,2.76,747.4
sett_8574c09f02,merch_012,2026-07-15T00:00:00,2837.64,56.75,10.21,2770.68
sett_479bc75e92,merch_021,2026-08-19T00:00:00,522.97,10.46,1.88,510.63
sett_d43d6d4170,merch_018,2026-07-11T00:00:00,7841.24,156.83,28.23,3052.44
sett_9089e8d8ea,merch_019,2026-07-28T00:00:00,8399.94,168.0,30.24,8201.7
sett_c23d478e8f,merch_003,2026-09-01T00:00:00,8697.84,173.96,31.31,8492.57
sett_e7941c898e,merch_005,2026-07-05T00:00:00,10984.19,219.68,39.54,10724.97
sett_4548b65fed,merch_013,2026-07-25T00:00:00,6195.18,123.9,22.3,6048.98
sett_94373854f9,merch_012,2026-09-02T00:00:00,34143.63,682.87,122.92,33337.84
sett_bdaeb7a85f,merch_008,2026-08-05T00:00:00,926.23,18.52,3.33,904.38
sett_0f6aac4192,merch_022,2026-08-28T00:00:00,294.7,5.89,1.06,287.75
sett_6fe52f5bb5,merch_023,2026-07-22T00:00:00,5969.89,119.4,21.49,5829.0
sett_aa9d7dbb2c,merch_014,2026-07-08T00:00:00,33901.39,678.03,122.05,33101.31
sett_cdbb98f270,merch_016,2026-08-25T00:00:00,15251.7,305.04,54.9,14891.76
