bank_txn_id,utr,amount,value_date,description
btx_d7e1b38a15,UTR8A425F890BB2,933.29,2026-08-10T00:00:00,RAZORPAY 87748cc6 SETTLEMENT
btx_2ecba1401f,UTRB412182976BF,5982.62,2026-07-14T00:00:00,RAZORPAY 62bbfb9b SETTLEMENT
btx_db9a26da54,UTR31A0114A30BB,14086.66,2026-08-10T00:00:00,RAZORPAY e3d0efad SETTLEMENT
btx_77dbbc68ec,UTRAFAB75471959,21829.37,2026-07-13T00:00:00,RAZORPAY 7e00f434 SETTLEMENT
btx_4e2530cec4,UTRCCCB8D97030F,31026.85,2026-08-06T00:00:00,RAZORPAY 530d47de SETTLEMENT
btx_96777e1007,UTR82D57CCA6BC1,848.24,2026-07-15T00:00:00,RAZORPAY 8cb67187 SETTLEMENT
btx_9a16d8c470,UTR1D7FA2DB6FFB,563.58,2026-07-11T00:00:00,RAZORPAY 73b5df57 SETTLEMENT
btx_4bd8bfa6c9,UTR617820308712,13524.59,2026-08-19T00:00:00,RAZORPAY f2a2fbec SETTLEMENT
btx_7200a3bb73,UTR82AA0FA489E2,164.04,2026-08-17T00:00:00,RAZORPAY 46d02289 SETTLEMENT
btx_f0a12866f4,UTRC893F337B33F,1430.52,2026-09-02T00:00:00,RAZORPAY 0aedec84 SETTLEMENT PART1
btx_8b49d675e8,UTR501FC9CF7199,1430.52,2026-09-02T00:00:00,RAZORPAY 0aedec84 SETTLEMENT PART2
btx_2f839e4e4d,UTR8D9A61DD00D3,3890.12,2026-08-08T00:00:00,RZP 674399 ADJ
btx_d04faea843,UTR62952467CCB1,19644.36,2026-08-04T00:00:00,RAZORPAY d02cefa4 SETTLEMENT
btx_e161457891,UTR25AFCEBDBF50,4443.68,2026-08-09T00:00:00,RAZORPAY 632ffbf0 SETTLEMENT
btx_134be1475f,UTR71C00A9B543C,8747.28,2026-08-09T00:00:00,RAZORPAY f466a934 SETTLEMENT
btx_6e1cdae81d,UTR1F47813AF550,1795.82,2026-08-19T00:00:00,RAZORPAY e52ab20f SETTLEMENT
btx_390ce005fa,UTRCB2F3B52B46C,3900.48,2026-08-03T00:00:00,RAZORPAY a8a40d24 SETTLEMENT
btx_10909cb0f0,UTR81D6A479EE2B,13713.03,2026-07-30T00:00:00,RAZORPAY 79f0e4a5 SETTLEMENT
btx_321fc8a1d2,UTR37B3C79A942A,5234.75,2026-09-01T00:00:00,RAZORPAY fbd8c2f3 SETTLEMENT
btx_7aef52eade,UTRF92C51A6DAD8,16148.14,2026-07-23T00:00:00,RAZORPAY ac257001 SETTLEMENT
btx_422fbd9407,UTR0C12D644B5A1,9396.33,2026-09-04T00:00:00,RAZORPAY 6e0fd542 SETTLEMENT
btx_012a2d586a,UTRC13B4F43375F,33903.03,2026-07-27T00:00:00,RAZORPAY 948d9b8a SETTLEMENT
btx_589820f55f,UTR7A33B78CD588,223.33,2026-07-27T00:00:00,RAZORPAY 0f2f6778 SETTLEMENT
btx_b6aba0c435,UTRAAB61D237EA8,-189.32,2026-07-10T00:00:00,RAZORPAY 42b56498 SETTLEMENT
btx_49dde7365d,UTR59A2D0F6D47C,1717.89,2026-08-25T00:00:00,RAZORPAY 249688cb SETTLEMENT
btx_a4c2bc8de4,UTR0B48E7D38FE7,233.17,2026-08-06T00:00:00,RAZORPAY 400bf292 SETTLEMENT
btx_f68df17ec1,UTR0375447FD2D4,10922.06,2026-07-27T00:00:00,RAZORPAY 804cb9a9 SETTLEMENT
btx_416daa54f0,UTRFAD555414075,340.11,2026-07-30T00:00:00,RAZORPAY d2425926 SETTLEMENT
btx_e8ce0a734e,UTRD748190D189A,650.51,2026-08-06T00:00:00,RAZORPAY 111e0955 SETTLEMENT
btx_df39bd786d,UTR156487D21804,41753.81,2026-09-03T00:00:00,RAZORPAY b20ce613 SETTLEMENT
btx_a92792c161,UTR8EA4A32947CC,251.1,2026-07-27T00:00:00,RAZORPAY 802c89a3 SETTLEMENT
btx_e1b9f1187d,UTR07EE80E68487,1450.35,2026-08-11T00:00:00,RAZORPAY 5950f138 SETTLEMENT
btx_7ae7d67fba,UTR5390D0D2BD74,913.24,2026-08-27T00:00:00,RAZORPAY 22d339a3 SETTLEMENT
btx_497b2a4833,UTR39658EE05242,2925.07,2026-07-24T00:00:00,RAZORPAY a41a90db SETTLEMENT
btx_b5b46b13eb,UTRF4822905239E,7280.6,2026-07-11T00:00:00,RAZORPAY fef49973 SETTLEMENT
btx_8f86b76f41,UTR7E06ACF6620B,367.49,2026-08-31T00:00:00,RAZORPAY 1d4380b4 SETTLEMENT
btx_727cc5f4ee,UTRC74D28B91BF1,487.41,2026-07-13T00:00:00,RAZORPAY ecc5e5fb SETTLEMENT
btx_1da01167f1,UTR1CD58CDFAA6D,624.22,2026-08-30T00:00:00,RZP 6958cf ADJ
btx_92556a565a,UTRB9172A102AC3,400.46,2026-08-17T00:00:00,RAZORPAY 1061e07e SETTLEMENT
btx_30a143930c,UTR0899C97039B2,7454.34,2026-08-22T00:00:00,RAZORPAY fb7322a4 SETTLEMENT
btx_c4d0bbe799,UTR237A99521DDF,710.71,2026-07-10T00:00:00,RAZORPAY 948c1e7c SETTLEMENT
btx_db51185a03,UTR8E6DA7162D03,77.83,2026-07-29T00:00:00,RAZORPAY 69d133e7 SETTLEMENT
btx_6328c07a41,UTR93DCEB6DB2BE,7528.11,2026-07-20T00:00:00,RAZORPAY 37b59447 SETTLEMENT
btx_8019f47697,UTR6C1EEAB57429,459.01,2026-07-29T00:00:00,RAZORPAY c664d535 SETTLEMENT
btx_89fc0977da,UTRB9AE1B71DF7C,-100.65,2026-08-28T00:00:00,RAZORPAY fa1a907a SETTLEMENT
btx_0faad87642,UTR6E5385F92A50,5001.94,2026-08-22T00:00:00,RAZORPAY 45277949 SETTLEMENT
btx_4ed85a480f,UTR4FE8E08D33D6,977.25,2026-07-27T00:00:00,RAZORPAY 667e8e55 SETTLEMENT
btx_b7599c9952,UTR95BB7FD76580,5715.3,2026-08-07T00:00:00,RAZORPAY 58e93ecb SETTLEMENT
btx_63dc2dca18,UTRE8FDF6468377,33954.89,2026-08-30T00:00:00,RAZORPAY 62d122aa SETTLEMENT
btx_09fe56d787,UTR3D625DA4F324,3329.3,2026-08-25T00:00:00,RAZORPAY 47f592f7 SETTLEMENT
btx_005c6a9ff4,UTR9DD0E57E3A0A,12403.44,2026-07-15T00:00:00,RAZORPAY f891e7f7 SETTLEMENT
btx_6083fc3bce,UTR374A1ED79A87,189.31,2026-08-22T00:00:00,RAZORPAY d71b0016 SETTLEMENT
btx_9a0b2fd616,UTRDBCA2A8E762A,6816.7,2026-08-11T00:00:00,RAZORPAY 344ed7d1 SETTLEMENT
btx_495cbc0ef9,UTRA8DD3BDA920E,14826.7,2026-09-02T00:00:00,RAZORPAY d4d3f8c6 SETTLEMENT
btx_651c164908,UTR1DCA6A0AEDAC,44691.56,2026-07-26T00:00:00,RAZORPAY 6f61002a SETTLEMENT
btx_4e22eebffb,UTRA3655D146FD4,5701.1,2026-08-29T00:00:00,RAZORPAY fd35a200 SETTLEMENT
btx_cad47403ff,UTR2C9BED0E3B36,33149.51,2026-08-14T00:00:00,RAZORPAY 6a73cbb2 SETTLEMENT
btx_0028c1ba5a,UTRBF6CB5BB4609,20298.8,2026-08-24T00:00:00,RAZORPAY 9766145f SETTLEMENT
btx_4d3347d76d,UTREC9377619FE5,3112.51,2026-07-07T00:00:00,RAZORPAY a9a51323 SETTLEMENT
btx_f4b2a15c4c,UTRD29EECF6297D,820.94,2026-07-14T00:00:00,RAZORPAY 522e6aff SETTLEMENT
btx_05bd5c39fa,UTR3E70F636158C,35101.62,2026-07-25T00:00:00,RAZORPAY 36589175 SETTLEMENT
btx_571ea6686e,UTR48462CF48C73,8984.13,2026-08-10T00:00:00,RAZORPAY 124c590e SETTLEMENT
btx_9fc3e81577,UTR4B42BA51D43C,2234.76,2026-08-14T00:00:00,RAZORPAY 1dfe9f9e SETTLEMENT
btx_67f7118616,UTR6D06D8F3114C,7416.25,2026-09-01T00:00:00,RAZORPAY 2f4644d4 SETTLEMENT
btx_40b17f4b1c,UTRFFBA121E83FB,464.51,2026-07-06T00:00:00,RAZORPAY ced63064 SETTLEMENT
btx_4142a259e4,UTR7BAD136E63AE,562.36,2026-07-17T00:00:00,RAZORPAY 1d42a119 SETTLEMENT
btx_aec220f4a5,UTR24562FB9C2FA,32612.16,2026-07-30T00:00:00,RAZORPAY 8f9696ce SETTLEMENT
btx_812e070a31,UTR662EF11BE0E6,450.07,2026-08-12T00:00:00,RAZORPAY 6aa9148c SETTLEMENT
btx_1dbad58cf6,UTRAF70AFD544AE,110.93,2026-08-01T00:00:00,RAZORPAY d1851e6f SETTLEMENT
btx_939b5ebe84,UTR497D8754185C,29398.54,2026-08-09T00:00:00,RAZORPAY 5b0c93ae SETTLEMENT
btx_cec42abbc3,UTRA947DC6EA0F8,10038.87,2026-08-10T00:00:00,RAZORPAY b8b3c6c9 SETTLEMENT
btx_dd82327883,UTRE6271D52EFE7,106.69,2026-08-28T00:00:00,RAZORPAY d14a1768 SETTLEMENT
btx_ad6fd60404,UTR64164791046B,10496.66,2026-08-31T00:00:00,RAZORPAY 43c9403b SETTLEMENT
btx_81c73874a8,UTR27ACACF3BCCA,2779.4,2026-08-26T00:00:00,RAZORPAY cb21055d SETTLEMENT
btx_baed1933c0,UTR49282D38CFA4,1035.83,2026-07-23T00:00:00,RAZORPAY a67ae046 SETTLEMENT
btx_d15832772a,UTREBC17BC5802A,1406.84,2026-08-14T00:00:00,RAZORPAY 8400380b SETTLEMENT
btx_7573aa2eef,UTRB1FDB4F57CE9,465.91,2026-09-04T00:00:00,RAZORPAY ce725754 SETTLEMENT
btx_0efc24a7b1,UTRD7A95B62AB03,5281.59,2026-08-14T00:00:00,RAZORPAY cbc2abe8 SETTLEMENT
btx_9e1d101541,UTR02C62D45DE52,1943.55,2026-08-01T00:00:00,RAZORPAY cbb2ce47 SETTLEMENT
btx_9ff16a8cee,UTRD4AF524E7FA8,2479.61,2026-07-23T00:00:00,RAZORPAY 9afc242a SETTLEMENT
btx_d15c0bcdfe,UTR61360545C9C8,53353.98,2026-08-30T00:00:00,RAZORPAY 23776477 SETTLEMENT
btx_219b638e73,UTR0E9B81EAA144,958.63,2026-08-19T00:00:00,RAZORPAY 200e24c6 SETTLEMENT
btx_ef4963b314,UTR5050C31FEA20,8741.85,2026-08-09T00:00:00,RAZORPAY cc12bbc4 SETTLEMENT
btx_0ccdfc12a7,UTRB7FECCAEB306,3745.12,2026-08-22T00:00:00,RAZORPAY 6c7a1bbf SETTLEMENT
btx_0683564cd9,UTR59CDF294DD7A,2532.48,2026-07-22T00:00:00,RAZORPAY 95e05dc4 SETTLEMENT
btx_efaeec84d9,UTR35D8102F28E1,680.01,2026-08-06T00:00:00,RAZORPAY 27f66346 SETTLEMENT
btx_13f89815df,UTR0A4C5325167A,55143.47,2026-08-10T00:00:00,RAZORPAY c0612446 SETTLEMENT
btx_6b4a9a00a0,UTRDAC1F8E0FC8B,441.63,2026-07-14T00:00:00,RAZORPAY c065eb12 SETTLEMENT
btx_14efd21690,UTR7480A9F0D7FC,26181.35,2026-07-28T00:00:00,RAZORPAY 9a7cd6cf SETTLEMENT
btx_bf9f0f82e3,UTRFBAC3BC14E14,2063.4,2026-08-10T00:00:00,RAZORPAY 5a7bc88d SETTLEMENT
btx_f73b559bc2,UTR3F534B921B16,-167.67,2026-08-09T00:00:00,RAZORPAY 75a60725 SETTLEMENT
btx_12c86ed9c4,UTR5A9296EE9418,546.34,2026-07-07T00:00:00,RZP a72f5f ADJ
btx_860fce5c25,UTR3FC226805EC7,1037.79,2026-08-23T00:00:00,RAZORPAY 3697de66 SETTLEMENT
btx_304674ecaa,UTR46B14E487556,7084.99,2026-07-24T00:00:00,RAZORPAY 3103ff8e SETTLEMENT
