settlement_id,payment_ids,root_cause,expected_net,actual_bank_amount,is_explainable
sett_15b1b123be,pay_6ed2f0a555;pay_eeb2f7b8e4,none,28708.05,28708.05,True
sett_0ad47b9418,pay_f6686cd9c4;pay_6320d7953e;pay_5b071e9caa,none,2461.3,2461.3,True
sett_c4b7863b92,pay_4a9f2d42c2,currency_conversion,873.83,871.3,False
sett_9f57f01b82,pay_e68ffaa35f;pay_793838d3fc;pay_e8cf2dfc55,currency_conversion,7738.18,7723.6,False
sett_d486c0352d,pay_57e03ab864,split_settlement,3057.89,3057.89,True
sett_e360900dfe,pay_616b4d4148,none,13543.08,13543.08,True
sett_892c2bd8a0,pay_76dbd0fb0c;pay_439f756979,none,1869.83,1869.83,True
sett_ccca9aeae2,pay_d04274d3e4,none,583.93,583.93,True
sett_da6b6a8985,pay_010edef158,none,1232.73,1232.73,True
sett_41f5c37f45,pay_7afc9999f1;pay_377d577f83,none,16947.85,16947.85,True
sett_f13f3e591d,pay_22be6e427c;pay_ccb8045242,none,28656.6,28656.6,True
sett_9cefab750f,pay_3a1916e1c9;pay_a8fc7aa623;pay_0f877ec0b0,partial_refund,2489.95,2267.68,True
sett_dabaadf1e2,pay_73af198dfe;pay_dffd59420a,fee_discrepancy,7905.55,7879.27,True
sett_a1aadedbc5,pay_4826ea0594,bank_adjustment,1306.92,1128.55,False
sett_dc6f4db7ce,pay_b734627cec,bank_adjustment,841.97,648.61,False
sett_be2104ca76,pay_b19923f580,none,533.53,533.53,True
sett_0621a5c455,pay_d8e878678f,duplicate_record,10868.53,-262.69,True
sett_085d8e5036,pay_3d59c4f3d1;pay_8319e2330a;pay_8a1f6b9b58,duplicate_record,18743.52,18198.31,True
sett_c411272df2,pay_2714a19014,none,1502.28,1502.28,True
sett_d7f1078bb9,pay_b2d3808616,timing_skew,1668.91,1668.91,True
sett_967e5e9c5a,pay_beb37b198c,none,817.06,817.06,True
sett_91e9ed45e5,pay_6c9fec68b8,none,284.16,284.16,True
sett_a5f0ea4772,pay_6bc1db72ce,bank_adjustment,37450.11,37166.5,False
sett_dfa8a6fa19,pay_9d4edaac54,none,4484.05,4484.05,True
sett_7b0db31503,pay_fc4ae9853a,none,921.07,921.07,True
sett_f44f54a13f,pay_31aeb3586e,fee_discrepancy,-94.38,-127.31,True
sett_8a3b0296f3,pay_81120a6841;pay_a506e18716,none,1837.27,1837.27,True
sett_1a6b55bf59,pay_6aaa9fbd29,split_settlement,671.28,671.28,True
sett_4396a505c7,pay_8d9f96d7d0;pay_e5b21164dc,none,127.71,127.71,True
sett_fb6c59fbda,pay_2bb294e160,none,1325.33,1325.33,True
sett_1aad053b3a,pay_db5f7e6007,duplicate_record,991.14,-23.95,True
sett_b1a1b1711c,pay_ccdd7e875d,partial_refund,855.09,719.55,True
sett_448dddde80,pay_c3591db20d;pay_8d61d773c8,currency_conversion,30333.81,30269.56,False
sett_01f200c38c,pay_792ca44da7,duplicate_record,841.44,-20.34,True
sett_ffa237eecc,pay_e2b7da42f1;pay_21ef1f3375;pay_4d50b4ef63,none,2976.68,2976.68,True
sett_2f1fc6f109,pay_84ad1d1aa8,none,-20.25,-20.25,True
sett_b09230518c,pay_da0e22a20f,none,11064.36,11064.36,True
sett_4860dfacc2,pay_e689c9871c,split_settlement,41713.28,41713.28,True
sett_f74ec773da,pay_ab81681947;pay_8f0b510123;pay_070ac0e14a,none,8693.15,8693.15,True
sett_ac9e276c05,pay_96d9e9c787,none,11356.25,11356.25,True
sett_699fd7a04d,pay_d8ecccd4e7;pay_e6fb4a277e,none,13457.7,13457.7,True
sett_cd31ff0f93,pay_9909510664,none,-205.11,-205.11,True
sett_e12b36335e,pay_3bf13fe5ed;pay_7ff4999059,none,2865.43,2865.43,True
sett_b10a8c65f5,pay_52144d5749;pay_773ef4171c,none,976.48,976.48,True
sett_15dc29bc65,pay_2fc8a56689,split_settlement,1352.55,1352.55,True
sett_222e565845,pay_d282f68cf2,none,-894.07,-894.07,True
sett_007fbc1252,pay_2e7ddf0874;pay_5f492ab727,none,6134.48,6134.48,True
sett_d469b54aec,pay_a585543422;pay_0215879d2b,none,10528.79,10528.79,True
sett_a117c9f253,pay_507e48763d;pay_287795b09d,none,11775.26,11775.26,True
sett_9df4957bf1,pay_2a2dfc1c9a,none,1198.16,1198.16,True
sett_7f5c1ad5a0,pay_1d39fa2524,none,510.66,510.66,True
sett_24e58839dd,pay_c444117618;pay_8292d43d29;pay_453ddacdf0,none,19280.68,19280.68,True
sett_f8033dfbbd,pay_67bdfbb7dc,none,534.5,534.5,True
sett_9a0f3d0d8b,pay_ba71ac4d69;pay_d1e3ae2a1f,partial_refund,46413.66,37658.18,True
sett_8723016d32,pay_223f1248c4;pay_d896c3fccf;pay_a22a51ee7f,none,6970.08,6970.08,True
sett_dfbede2c5f,pay_ba76494aae,none,1288.86,1288.86,True
sett_3b0ee502aa,pay_241fa824b5;pay_94773c69b2,none,2201.73,2201.73,True
sett_f528e08a5c,pay_22c5b4ce72,none,11579.92,11579.92,True
sett_3e48450c73,pay_df383cf639;pay_2de951a7b1,none,4090.27,4090.27,True
sett_d05e647490,pay_da6f83783a,none,1170.99,1170.99,True
sett_7a56ca201a,pay_7c08934b0b,duplicate_record,149.21,-3.61,True
sett_160b26057f,pay_755f65d1cd,none,7889.52,7889.52,True
sett_27ee67ee49,pay_4fdc4849f5,none,-21.81,-21.81,True
sett_a8952d5244,pay_eec66f7ae3;pay_bed5221025;pay_248979f068,partial_refund,5898.19,5722.74,True
sett_5ec2b923ca,pay_5f1ab6bb51,none,1337.33,1337.33,True
sett_07b4be4f47,pay_30343898dd;pay_6e25b5ce7e,none,5975.97,5975.97,True
sett_da2dbc2274,pay_8423301bda;pay_e335c2ef18,none,2355.38,2355.38,True
sett_56f33c48e6,pay_fc5d0bd3e0,duplicate_record,253.5,-6.12,True
sett_f578e9ba67,pay_940b454c4d,none,657.77,657.77,True
sett_532d2baca2,pay_be62b9b4bf,timing_skew,2503.05,2503.05,True
sett_7267ed77aa,pay_e8de2c67c8;pay_9d39cbd23f;pay_4ae3958685,missing_settlement,5781.09,,True
sett_9d3035abb4,pay_774138f6fa,none,1134.08,1134.08,True
sett_0d263d37a8,pay_9ae43ec5a4,none,11486.09,11486.09,True
sett_b0f8396bfd,pay_6a56218443;pay_8fc322154d;pay_a8603a46c9,none,30405.46,30405.46,True
sett_bd4f53ea2a,pay_fd2a9ec733,none,11527.85,11527.85,True
sett_f287748cc6,pay_cd4d145ce9,none,933.29,933.29,True
sett_1e62bbfb9b,pay_896fc2153a,timing_skew,5982.62,5982.62,True
sett_e7e3d0efad,pay_edc8e944eb;pay_10115a9480,timing_skew,14086.66,14086.66,True
sett_ed7e00f434,pay_1bdbe718f2;pay_070b817b82,none,21829.37,21829.37,True
sett_08530d47de,pay_2549502a24;pay_d19138af4d,none,31026.85,31026.85,True
sett_2c8cb67187,pay_dfee40bcf0,none,848.24,848.24,True
sett_bc73b5df57,pay_5aba53d57f,none,563.58,563.58,True
sett_1ff3595a6b,pay_92ae2d589b,missing_settlement,1232.06,,True
sett_cbf2a2fbec,pay_3806ca4229;pay_fb14682764,none,13524.59,13524.59,True
sett_9946d02289,pay_c20bd2df2b,none,164.04,164.04,True
sett_410aedec84,pay_86dcf8be62;pay_664c7f97d7,split_settlement,2861.04,2861.04,True
sett_7d82674399,pay_b2262c5b9c,bank_adjustment,4269.56,3890.12,False
sett_e5d02cefa4,pay_0047cfd8d1;pay_aa64ec4f8d;pay_91bf21a851,none,19644.36,19644.36,True
sett_38632ffbf0,pay_d1243d1c72,none,4443.68,4443.68,True
sett_2ff466a934,pay_345d35d4bb,none,8747.28,8747.28,True
sett_fde52ab20f,pay_0f0e978d93,none,1795.82,1795.82,True
sett_f8a8a40d24,pay_9363c4c132,none,3900.48,3900.48,True
sett_4079f0e4a5,pay_007019bf79,none,13713.03,13713.03,True
sett_97fbd8c2f3,pay_4284520666,none,5234.75,5234.75,True
sett_41ac257001,pay_f646951d27;pay_910ffee761;pay_ecbb8ba043,none,16148.14,16148.14,True
sett_556e0fd542,pay_4b72b539fc,none,9396.33,9396.33,True
sett_fe948d9b8a,pay_e632941b46;pay_3676315388;pay_9faa7f542a,none,33903.03,33903.03,True
sett_d60f2f6778,pay_0ce03b3354,none,223.33,223.33,True
sett_6242b56498,pay_bd7155f276,duplicate_record,7832.56,-189.32,True
sett_0e249688cb,pay_5b15b298f8,none,1717.89,1717.89,True
sett_a8400bf292,pay_c4d8e30b2b,none,233.17,233.17,True
sett_a1804cb9a9,pay_00cec5680a;pay_701afa7e88,none,10922.06,10922.06,True
sett_c3d2425926,pay_101d6427c9,currency_conversion,340.95,340.11,False
sett_8f111e0955,pay_d14ea34bd6,none,650.51,650.51,True
sett_b5b20ce613,pay_e9a7c1f95c;pay_bd95563a7f,none,41753.81,41753.81,True
sett_ca802c89a3,pay_73ead9680d,partial_refund,311.32,251.1,True
sett_7a5950f138,pay_3c5d8a2160;pay_0426b956cb,none,1450.35,1450.35,True
sett_3522d339a3,pay_7ba76a4e88,none,913.24,913.24,True
sett_f8a41a90db,pay_e9878dbc1c,none,2925.07,2925.07,True
sett_73fef49973,pay_a6f009884f,none,7280.6,7280.6,True
sett_641d4380b4,pay_c649db10cc,none,367.49,367.49,True
sett_b4ecc5e5fb,pay_c715a88eb3,none,487.41,487.41,True
sett_62596958cf,pay_7eff7ac5e7,bank_adjustment,896.18,624.22,False
sett_c31061e07e,pay_9dbefc37e5,none,400.46,400.46,True
sett_91fb7322a4,pay_490f201517;pay_4750f9f28b,none,7454.34,7454.34,True
sett_da948c1e7c,pay_cccd4aff90,none,710.71,710.71,True
sett_0669d133e7,pay_4db60596f4,partial_refund,112.12,77.83,True
sett_8237b59447,pay_f8645e2cce;pay_efa082a9e4,none,7528.11,7528.11,True
sett_6ec664d535,pay_e1b9c42ac7,none,459.01,459.01,True
sett_cffa1a907a,pay_9023e7a868,none,-100.65,-100.65,True
sett_d645277949,pay_4d0b10b018,none,5001.94,5001.94,True
sett_0c667e8e55,pay_2bde6304ac,none,977.25,977.25,True
sett_1d58e93ecb,pay_97cb7665f4,none,5715.3,5715.3,True
sett_0162d122aa,pay_8c849a9623,none,33954.89,33954.89,True
sett_3247f592f7,pay_12ea49f247,none,3329.3,3329.3,True
sett_9ff891e7f7,pay_5f1530fc8b;pay_b8504f7bb0;pay_f38e5eb5a0,none,12403.44,12403.44,True
sett_b1d71b0016,pay_16d57c8e61,partial_refund,258.28,189.31,True
sett_b2344ed7d1,pay_a0d30d69a1,none,6816.7,6816.7,True
sett_6ad4d3f8c6,pay_da61394005,none,14826.7,14826.7,True
sett_e16f61002a,pay_8f34243be1;pay_cac33c1612,none,44691.56,44691.56,True
sett_4585c1879c,pay_b120c5f6eb;pay_94e121dadf,missing_settlement,8652.25,,True
sett_63fd35a200,pay_bb3ee964ff,none,5701.1,5701.1,True
sett_846a73cbb2,pay_39183230b3,none,33149.51,33149.51,True
sett_c89766145f,pay_7e2eb95670;pay_3a36e8c339,none,20298.8,20298.8,True
sett_b2a9a51323,pay_986c984bb0,none,3112.51,3112.51,True
sett_1b522e6aff,pay_fdd4074aa0;pay_1f30a8cba0,partial_refund,950.04,820.94,True
sett_ce36589175,pay_24c04af375;pay_1dea04f58f,fee_discrepancy,35157.51,35101.62,True
sett_cc124c590e,pay_775355cfdf;pay_09db3123ce,none,8984.13,8984.13,True
sett_9c1dfe9f9e,pay_c1cf37b5cd;pay_a8cb85940e,none,2234.76,2234.76,True
sett_182f4644d4,pay_537ecb80ae;pay_b79040e12e,none,7416.25,7416.25,True
sett_ccced63064,pay_4182f58bc2,partial_refund,649.83,464.51,True
sett_191d42a119,pay_258664de69,none,562.36,562.36,True
sett_6c8f9696ce,pay_215dbdbc55,none,32612.16,32612.16,True
sett_d56aa9148c,pay_990b37f633,none,450.07,450.07,True
sett_a9d1851e6f,pay_16174f8ce7,none,110.93,110.93,True
sett_895b0c93ae,pay_46da1f62a6,none,29398.54,29398.54,True
sett_80b8b3c6c9,pay_59f6531551,none,10038.87,10038.87,True
sett_32d14a1768,pay_a10076aba2,none,106.69,106.69,True
sett_9d43c9403b,pay_2af949626f,none,10496.66,10496.66,True
sett_43cb21055d,pay_a57417c49a,none,2779.4,2779.4,True
sett_77a67ae046,pay_3524876a12,none,1035.83,1035.83,True
sett_fa8400380b,pay_6d9f9a51bf;pay_900b1e8cbb,timing_skew,1406.84,1406.84,True
sett_4fce725754,pay_d6a70eab70,none,465.91,465.91,True
sett_66cbc2abe8,pay_1dcc6e030b,none,5281.59,5281.59,True
sett_6bcbb2ce47,pay_bb967b9960;pay_f8a9a0a172;pay_2523a1fcc3,none,1943.55,1943.55,True
sett_9b9afc242a,pay_92f1e3b30c;pay_cbbe34b112,none,2479.61,2479.61,True
sett_ba23776477,pay_a783d0304e;pay_1dc8d7e479,none,53353.98,53353.98,True
sett_8e200e24c6,pay_29f079de96,none,958.63,958.63,True
sett_87cc12bbc4,pay_7bb770ec97;pay_cb4853b7f0,none,8741.85,8741.85,True
sett_086c7a1bbf,pay_7a3dd9ed7d;pay_63e3202cb6;pay_a65d9f955b,none,3745.12,3745.12,True
sett_a795e05dc4,pay_a9d2b9610e,partial_refund,2949.61,2532.48,True
sett_3027f66346,pay_c2a9c41a3b;pay_1cbfb6e7fc,timing_skew,680.01,680.01,True
sett_63c0612446,pay_b3db8bff97;pay_3b735a3ced;pay_0ba049ead2,none,55143.47,55143.47,True
sett_99c065eb12,pay_0d3246c3ca,none,441.63,441.63,True
sett_c29a7cd6cf,pay_815c66edf2,none,26181.35,26181.35,True
sett_d55a7bc88d,pay_dce95cd4b2;pay_a397a17fff,none,2063.4,2063.4,True
sett_e14af975b6,pay_84389d82ea,missing_settlement,1422.96,,True
sett_1775a60725,pay_28078925c2,duplicate_record,6937.06,-167.67,True
sett_58f2a72f5f,pay_c4748f960a;pay_5d0ac99637,bank_adjustment,988.79,546.34,False
sett_1d3697de66,pay_ee2ce7281c,none,1037.79,1037.79,True
sett_de3103ff8e,pay_b0cf973fa0,none,7084.99,7084.99,True
sett_2cf4c636f4,pay_6f53d27bdc;pay_759779f91d,none,4008.02,4008.02,True
sett_6970612e52,pay_9cf18ecfc5,missing_settlement,7751.41,,True
sett_f394b6b8b8,pay_d72869346c,none,3334.67,3334.67,True
sett_2840af7f1a,pay_0c617ebd69,none,268.56,268.56,True
sett_898e94ec87,pay_66cb70236c,missing_settlement,523.56,,True
sett_fa5c416c98,pay_b08673d55a;pay_2e7e75ccb7,none,34182.39,34182.39,True
sett_736cde8e2c,pay_14720205b2,none,2714.98,2714.98,True
sett_774f13a63d,pay_d9c470062e,none,1102.79,1102.79,True
sett_9b9717d967,pay_e578b8096a,none,9099.67,9099.67,True
sett_79205092ab,pay_7c73e1e8b9;pay_23acbf6bf6,none,4010.56,4010.56,True
sett_46bcad43a7,pay_45b2b832dd,split_settlement,-133.48,-133.48,True
sett_241ce954c9,pay_4ae767d08c;pay_69e38969b3;pay_4730b2e979,none,33142.36,33142.36,True
sett_1a215e5897,pay_e77e9f8b5f,none,151.61,151.61,True
sett_78e752797e,pay_aee405f06d,currency_conversion,540.1,539.15,False
sett_03b968126b,pay_ef3256ec4f,duplicate_record,711.94,-17.2,True
sett_ddec9f2751,pay_4c66da5518,none,777.77,777.77,True
sett_4e25437ba6,pay_4730a1b9e6,none,359.56,359.56,True
sett_be5ee2ea6a,pay_f7a3c88b1e,currency_conversion,42589.54,42486.77,False
sett_aa39a488b0,pay_0ec76f0b5a,none,7186.78,7186.78,True
sett_c5f370fee3,pay_03b1381e26;pay_dd7bd7eb26,missing_settlement,5945.15,,True
sett_85c6a97ec4,pay_94ffdf5558,none,21144.32,21144.32,True
sett_5092cad0d5,pay_12add24ea9;pay_a9de587940,partial_refund,2822.71,2687.3,True
sett_970cc6c7ea,pay_68fff9702b,none,3693.81,3693.81,True
sett_58fd5e15e0,pay_32aa715f57;pay_55dd85e5c8;pay_60a92f973e,partial_refund,18395.61,18212.74,True
sett_d1ba04fb08,pay_c902fac4b2,none,989.96,989.96,True
sett_f4149d5fcb,pay_ccffbe240f,none,315.9,315.9,True
sett_2ba9b07568,pay_75556e0b81,none,5492.51,5492.51,True
sett_a36627fc6f,pay_34e79bfa81,missing_settlement,748.12,,True
sett_c02ce01898,pay_29a6e5f3f9,none,5723.4,5723.4,True
sett_883d1af1c3,pay_3c0beccaa2;pay_27b70efaa5,duplicate_record,3405.46,2365.01,True
sett_bb9695a924,pay_e5dd20786f;pay_18f0a6bbb2,timing_skew,745.02,745.02,True
sett_a1514d3d1a,pay_f6afb1cb43,none,3063.85,3063.85,True
sett_46def8598e,pay_b49753f414,none,376.22,376.22,True
sett_44af6bd796,pay_8891db8b8a,none,2978.29,2978.29,True
sett_c470ea3324,pay_aed237715e,split_settlement,1564.83,1564.83,True
sett_9785990c64,pay_620123d223,none,1305.21,1305.21,True
sett_94c441d7a3,pay_810bae4935,none,6914.27,6914.27,True
sett_79abe2e2ca,pay_675b93a01b;pay_ab91f725cd,none,10985.34,10985.34,True
sett_94fb716770,pay_a188c8d12a,none,952.3,952.3,True
sett_8fbcba1ed0,pay_d4cda0e074;pay_42216aa38a,bank_adjustment,28374.62,28040.66,False
sett_4a49dec157,pay_99c84fbfc5,none,7877.61,7877.61,True
sett_94a14ede7d,pay_631914f9b7,none,838.86,838.86,True
sett_96f1209c29,pay_bd6e3484ee,none,6834.76,6834.76,True
sett_0726b338bd,pay_1b7f29ccbd,none,826.18,826.18,True
sett_3fe40f817d,pay_96ce2e9f05,missing_settlement,-138.0,,True
sett_f59d750afe,pay_4d9247136b,fee_discrepancy,350.19,267.24,True
sett_95346a01c1,pay_a4a46dbeb1,duplicate_record,3350.75,-81.0,True
sett_cdc9a3694f,pay_9012486969,none,1421.97,1421.97,True
sett_3707be79f9,pay_47c4febbe3;pay_b6341f9a3e,none,48629.85,48629.85,True
sett_567a667915,pay_9209790e47,none,8683.31,8683.31,True
sett_1ceb482744,pay_6194bfceb1,none,1102.6,1102.6,True
sett_8ead917566,pay_209ab7b030;pay_fd44e616e9,none,295.85,295.85,True
sett_fdd5956f30,pay_4100d9bc4f;pay_cf166a2b0a;pay_0af69e113f,split_settlement,38951.35,38951.35,True
sett_91f4ff583a,pay_2cbcf96853;pay_8406d90728,none,1816.6,1816.6,True
sett_089b5a0dd6,pay_5ffbc76130,none,1148.33,1148.33,True
sett_bc92c8a285,pay_95a0ee823a;pay_4c04885bda,none,5287.98,5287.98,True
sett_89614a43df,pay_3c0e4b6232,missing_settlement,902.59,,True
sett_1f596e06b9,pay_545dba7052,none,1264.79,1264.79,True
sett_9bf9d2311b,pay_f6818e6916;pay_db6df4cba1,none,18283.46,18283.46,True
sett_b12461762f,pay_d83070272c,none,4774.24,4774.24,True
sett_6b03466cf0,pay_8624fbb62c,none,1047.16,1047.16,True
sett_2f3e67e8da,pay_6f97f44f79,none,2585.19,2585.19,True
sett_80eba03e9c,pay_2dcefd4e3d,none,2369.6,2369.6,True
sett_46d62caac7,pay_f3a210d674;pay_0599afac51,split_settlement,6706.1,6706.1,True
sett_aa2bcbaf05,pay_ddc9fea604,currency_conversion,501.33,499.6,False
sett_2a69322624,pay_706bad5240,none,973.34,973.34,True
sett_f6d811dcb6,pay_efb4d5106e;pay_6277fb0a41,none,852.67,852.67,True
sett_753b659872,pay_446003d3a9;pay_f9ccf6168c,none,2558.89,2558.89,True
sett_51b57a68c7,pay_f0817f6e7d;pay_740404dbe6,none,2108.82,2108.82,True
sett_5a3a37274d,pay_ec0452dc7b;pay_1a2e0a5e30,none,9429.69,9429.69,True
sett_8ec5833c6d,pay_f346a8ef94,bank_adjustment,9169.54,8850.51,False
sett_2cea2f2903,pay_b2b5461d71,none,1397.25,1397.25,True
sett_741927bb0b,pay_29f35f7ae5,currency_conversion,28182.24,28112.43,False
sett_7a42664ed5,pay_f4d4d5b869,none,6832.94,6832.94,True
sett_9d4afeb28a,pay_d3e3bed3d5;pay_59f9b47c38,none,1855.78,1855.78,True
sett_6bfa04694f,pay_4b32429d25,missing_settlement,839.26,,True
sett_c987063b26,pay_e1241fdb2a;pay_f22356abe1,none,9140.41,9140.41,True
sett_ae47feab43,pay_2280702099,none,7783.18,7783.18,True
sett_5d1b8c96e7,pay_3876db1e6e,partial_refund,1322.03,1073.01,True
sett_963a1774aa,pay_d12d4d3842,none,747.4,747.4,True
sett_8574c09f02,pay_792dcf74f1,currency_conversion,2770.68,2763.4,False
sett_479bc75e92,pay_d3a72993a2,bank_adjustment,510.63,408.51,False
sett_d43d6d4170,pay_8374817c79;pay_f43b9beacb,currency_conversion,3052.44,3034.79,False
sett_9089e8d8ea,pay_6255996b70;pay_3dc8925444,none,8201.7,8201.7,True
sett_c23d478e8f,pay_805361ad2c,none,8492.57,8492.57,True
sett_e7941c898e,pay_d4e7664016,none,10724.97,10724.97,True
sett_4548b65fed,pay_3ec84ab83c,none,6048.98,6048.98,True
sett_94373854f9,pay_67afa1b0f6,none,33337.84,33337.84,True
sett_bdaeb7a85f,pay_5759c2bc37,none,904.38,904.38,True
sett_0f6aac4192,pay_7ab4c1c29f,none,287.75,287.75,True
sett_6fe52f5bb5,pay_814a861a73,partial_refund,5829.0,4399.85,True
sett_aa9d7dbb2c,pay_a26fca914a,duplicate_record,33101.31,-800.08,True
sett_cdbb98f270,pay_2cb359a110;pay_d916f15afc,none,14891.76,14891.76,True
sett_a8853fdde1,pay_2d7398d82c;pay_1857c70550,none,956.53,956.53,True
sett_7ae5156e20,pay_900bb769c2,none,1451.43,1451.43,True
sett_5e34408bf7,pay_cef90f8e30,none,8222.39,8222.39,True
sett_da7cebdf38,pay_075f33038c,none,4979.54,4979.54,True
sett_0b02fd8b0b,pay_c2fa0712ee,none,3904.09,3904.09,True
sett_2007a07470,pay_17e12b307c;pay_37a4591794,none,27276.45,27276.45,True
sett_248e20516d,pay_3e90403819;pay_7931dd0deb,none,11603.52,11603.52,True
sett_e54dbf9738,pay_3d83fe4110,none,3687.53,3687.53,True
sett_f1112512a5,pay_7b39308af0,currency_conversion,2240.84,2229.19,False
sett_701ca14173,pay_e8e5f3a4bb,currency_conversion,1159.91,1155.26,False
sett_3f852da12d,pay_0390cfff49;pay_13cf90a088,missing_settlement,1829.85,,True
sett_22d1e9e258,pay_9bd8335663,timing_skew,3703.55,3703.55,True
sett_6605a833ce,pay_1ad01dc84f,split_settlement,4033.76,4033.76,True
sett_94fe6ca86b,pay_2de29b6d3c,none,304.88,304.88,True
sett_6e1a33e6eb,pay_474b9f0544,none,829.38,829.38,True
sett_ab004b9e97,pay_0d6ff864f6,none,622.77,622.77,True
sett_71b2092ba8,pay_a4104bd4b5,none,183.75,183.75,True
sett_ef41d7fe72,pay_5bca216b94;pay_b4f1a69bf6,none,7309.36,7309.36,True
sett_a3dbe0af0d,pay_1eb823e3c3,none,991.39,991.39,True
sett_3d336a7dbd,pay_2223063e45;pay_2d02d4acf0,none,3796.83,3796.83,True
sett_a8df34f353,pay_9b2fb59da2,none,1190.08,1190.08,True
