payment_id,failure_reason,is_recoverable,retry_would_succeed,recommended_action
pay_99ff28b518,technical_failure,True,True,RETRY_PAYMENT
pay_c3c4cbce24,timeout,True,False,RETRY_PAYMENT
pay_c8f5006349,technical_failure,True,True,RETRY_PAYMENT
pay_2befc2d128,issuer_declined,True,False,RETRY_ALT_METHOD
pay_7fe0e29df3,insufficient_funds,True,False,RETRY_LATER
pay_2b08c74d64,technical_failure,True,True,RETRY_PAYMENT
pay_4dce3f0181,insufficient_funds,True,False,RETRY_LATER
pay_ef61d3cef1,technical_failure,True,False,RETRY_PAYMENT
pay_4ea898f1e8,technical_failure,True,True,RETRY_PAYMENT
pay_d3a8bc22d7,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_a537f2a052,technical_failure,True,False,RETRY_PAYMENT
pay_dd0498fdd8,issuer_declined,True,False,RETRY_ALT_METHOD
pay_eab6e015d4,insufficient_funds,True,True,RETRY_LATER
pay_4fde4f1668,authentication_failure,True,True,RETRY_ALT_METHOD
pay_ab3d75e707,timeout,True,True,RETRY_PAYMENT
pay_a556fc84b8,insufficient_funds,True,False,RETRY_LATER
pay_62483004d4,authentication_failure,True,True,RETRY_ALT_METHOD
pay_f5a1effbec,timeout,True,True,RETRY_PAYMENT
pay_a952939292,insufficient_funds,True,False,RETRY_LATER
pay_c759363358,issuer_declined,True,False,RETRY_ALT_METHOD
pay_02d7d36ea4,technical_failure,True,True,RETRY_PAYMENT
pay_a6f3f4d057,authentication_failure,True,False,RETRY_ALT_METHOD
pay_a05ad8f492,authentication_failure,True,True,RETRY_ALT_METHOD
pay_ad252ae33b,technical_failure,True,True,RETRY_PAYMENT
pay_9f867c1140,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_130498b685,technical_failure,True,True,RETRY_PAYMENT
pay_81b158c63e,issuer_declined,True,False,RETRY_ALT_METHOD
pay_65ec742582,technical_failure,True,True,RETRY_PAYMENT
pay_4189a7db45,authentication_failure,True,False,RETRY_ALT_METHOD
pay_3907f80bfd,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_c8543cbcec,insufficient_funds,True,True,RETRY_LATER
pay_15bba7bc73,technical_failure,True,True,RETRY_PAYMENT
pay_90c9357b9e,issuer_declined,True,True,RETRY_ALT_METHOD
pay_8ead7ec3b3,insufficient_funds,True,True,RETRY_LATER
pay_4a355af337,timeout,True,True,RETRY_PAYMENT
pay_b9b8d2f83d,technical_failure,True,True,RETRY_PAYMENT
pay_d6538728a7,authentication_failure,True,True,RETRY_ALT_METHOD
pay_ed7464c4fc,technical_failure,True,True,RETRY_PAYMENT
pay_8a6c3e51ca,timeout,True,True,RETRY_PAYMENT
pay_1dbb70cef6,authentication_failure,True,False,RETRY_ALT_METHOD
pay_1ef1442da3,timeout,True,True,RETRY_PAYMENT
pay_eeaeefdace,timeout,True,True,RETRY_PAYMENT
pay_1aca9e99a8,technical_failure,True,True,RETRY_PAYMENT
pay_b8929034ea,timeout,True,True,RETRY_PAYMENT
pay_5ebf49d485,insufficient_funds,True,False,RETRY_LATER
pay_c2352bfd7f,risk_block,False,False,MANUAL_REVIEW
pay_31a4795d18,technical_failure,True,True,RETRY_PAYMENT
pay_9b24971fa0,issuer_declined,True,True,RETRY_ALT_METHOD
pay_fc8bb0900d,risk_block,False,False,MANUAL_REVIEW
pay_2286746cc9,technical_failure,True,True,RETRY_PAYMENT
pay_7b3c5ab430,technical_failure,True,False,RETRY_PAYMENT
pay_040169ace4,timeout,True,True,RETRY_PAYMENT
pay_a97f9805c8,insufficient_funds,True,False,RETRY_LATER
pay_9dc5781ab7,technical_failure,True,True,RETRY_PAYMENT
pay_9cdde54ada,technical_failure,True,True,RETRY_PAYMENT
pay_a31dc41544,timeout,True,True,RETRY_PAYMENT
pay_b32c8920c4,issuer_declined,True,False,RETRY_ALT_METHOD
pay_cf7b2a78b0,risk_block,False,False,MANUAL_REVIEW
pay_c3c3341ced,timeout,True,True,RETRY_PAYMENT
pay_52d0d68d38,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_7bf763790b,insufficient_funds,True,False,RETRY_LATER
pay_efde44f02c,technical_failure,True,True,RETRY_PAYMENT
pay_96314efe11,issuer_declined,True,False,RETRY_ALT_METHOD
pay_e7f98712f5,authentication_failure,True,True,RETRY_ALT_METHOD
pay_fc4d45b0cf,authentication_failure,True,True,RETRY_ALT_METHOD
pay_033adf5569,authentication_failure,True,False,RETRY_ALT_METHOD
pay_5dcf167d43,timeout,True,True,RETRY_PAYMENT
pay_2bb18af6c8,insufficient_funds,True,True,RETRY_LATER
pay_22f47b35db,issuer_declined,True,False,RETRY_ALT_METHOD
pay_b20cb975f7,expired,False,False,REQUEST_CUSTOMER_ACTION
pay_ee5421632e,insufficient_funds,True,True,RETRY_LATER
pay_fc7446ee90,technical_failure,True,True,RETRY_PAYMENT
pay_df0c4f7c9f,technical_failure,True,True,RETRY_PAYMENT
pay_d8d1222b30,insufficient_funds,True,True,RETRY_LATER
pay_037dfb7a73,technical_failure,True,True,RETRY_PAYMENT
pay_b60dad9046,issuer_declined,True,False,RETRY_ALT_METHOD
pay_39365b5a73,technical_failure,True,True,RETRY_PAYMENT
pay_530cf28747,timeout,True,True,RETRY_PAYMENT
pay_841c5a9450,timeout,True,True,RETRY_PAYMENT
pay_44a884c1c3,insufficient_funds,True,False,RETRY_LATER
pay_8db282dcff,risk_block,False,False,MANUAL_REVIEW
pay_baab2f8e6e,timeout,True,True,RETRY_PAYMENT
pay_e5365f4add,timeout,True,True,RETRY_PAYMENT
pay_24abd223c6,issuer_declined,True,False,RETRY_ALT_METHOD
pay_eb278f3b15,technical_failure,True,False,RETRY_PAYMENT
pay_f8672b0cf3,issuer_declined,True,False,RETRY_ALT_METHOD
pay_8d9448e6c2,technical_failure,True,True,RETRY_PAYMENT
pay_1af0ccde06,authentication_failure,True,True,RETRY_ALT_METHOD
pay_56a672c738,authentication_failure,True,True,RETRY_ALT_METHOD
pay_25ba2c53af,risk_block,False,False,MANUAL_REVIEW
pay_5c9ecfaf1d,issuer_declined,True,True,RETRY_ALT_METHOD
pay_3a36b7545d,issuer_declined,True,False,RETRY_ALT_METHOD
pay_4b0cb067d0,timeout,True,False,RETRY_PAYMENT
pay_ba1fa93061,timeout,True,True,RETRY_PAYMENT
pay_cb6cbce485,issuer_declined,True,False,RETRY_ALT_METHOD
pay_faca49e20d,timeout,True,True,RETRY_PAYMENT
pay_20a698dda6,insufficient_funds,True,True,RETRY_LATER
pay_c330a338ed,insufficient_funds,True,True,RETRY_LATER
pay_20fce0a30e,timeout,True,True,RETRY_PAYMENT
pay_df8ee3e06a,technical_failure,True,True,RETRY_PAYMENT
