bank_txn_id,settlement_id,match_type
btx_012a2d586a,sett_fe948d9b8a,exact
btx_589820f55f,sett_d60f2f6778,exact
btx_b6aba0c435,sett_6242b56498,duplicate_record
btx_49dde7365d,sett_0e249688cb,exact
btx_a4c2bc8de4,sett_a8400bf292,exact
btx_f68df17ec1,sett_a1804cb9a9,exact
btx_416daa54f0,sett_c3d2425926,currency_conversion
btx_e8ce0a734e,sett_8f111e0955,exact
btx_df39bd786d,sett_b5b20ce613,exact
btx_a92792c161,sett_ca802c89a3,partial_refund
btx_e1b9f1187d,sett_7a5950f138,exact
btx_7ae7d67fba,sett_3522d339a3,exact
btx_497b2a4833,sett_f8a41a90db,exact
btx_b5b46b13eb,sett_73fef49973,exact
btx_8f86b76f41,sett_641d4380b4,exact
btx_727cc5f4ee,sett_b4ecc5e5fb,exact
btx_1da01167f1,sett_62596958cf,bank_adjustment
btx_92556a565a,sett_c31061e07e,exact
btx_30a143930c,sett_91fb7322a4,exact
btx_c4d0bbe799,sett_da948c1e7c,exact
btx_db51185a03,sett_0669d133e7,partial_refund
btx_6328c07a41,sett_8237b59447,exact
btx_8019f47697,sett_6ec664d535,exact
btx_89fc0977da,sett_cffa1a907a,exact
btx_0faad87642,sett_d645277949,exact
btx_4ed85a480f,sett_0c667e8e55,exact
btx_b7599c9952,sett_1d58e93ecb,exact
btx_63dc2dca18,sett_0162d122aa,exact
btx_09fe56d787,sett_3247f592f7,exact
btx_005c6a9ff4,sett_9ff891e7f7,exact
btx_6083fc3bce,sett_b1d71b0016,partial_refund
btx_9a0b2fd616,sett_b2344ed7d1,exact
btx_495cbc0ef9,sett_6ad4d3f8c6,exact
btx_651c164908,sett_e16f61002a,exact
btx_4e22eebffb,sett_63fd35a200,exact
btx_cad47403ff,sett_846a73cbb2,exact
btx_0028c1ba5a,sett_c89766145f,exact
btx_4d3347d76d,sett_b2a9a51323,exact
btx_f4b2a15c4c,sett_1b522e6aff,partial_refund
btx_05bd5c39fa,sett_ce36589175,fee_discrepancy
btx_571ea6686e,sett_cc124c590e,exact
btx_9fc3e81577,sett_9c1dfe9f9e,exact
btx_67f7118616,sett_182f4644d4,exact
btx_40b17f4b1c,sett_ccced63064,partial_refund
btx_4142a259e4,sett_191d42a119,exact
btx_aec220f4a5,sett_6c8f9696ce,exact
btx_812e070a31,sett_d56aa9148c,exact
btx_1dbad58cf6,sett_a9d1851e6f,exact
btx_939b5ebe84,sett_895b0c93ae,exact
btx_cec42abbc3,sett_80b8b3c6c9,exact
btx_dd82327883,sett_32d14a1768,exact
btx_ad6fd60404,sett_9d43c9403b,exact
btx_81c73874a8,sett_43cb21055d,exact
btx_baed1933c0,sett_77a67ae046,exact
btx_d15832772a,sett_fa8400380b,timing_skew
btx_7573aa2eef,sett_4fce725754,exact
btx_0efc24a7b1,sett_66cbc2abe8,exact
btx_9e1d101541,sett_6bcbb2ce47,exact
btx_9ff16a8cee,sett_9b9afc242a,exact
btx_d15c0bcdfe,sett_ba23776477,exact
btx_219b638e73,sett_8e200e24c6,exact
btx_ef4963b314,sett_87cc12bbc4,exact
btx_0ccdfc12a7,sett_086c7a1bbf,exact
btx_0683564cd9,sett_a795e05dc4,partial_refund
btx_efaeec84d9,sett_3027f66346,timing_skew
btx_13f89815df,sett_63c0612446,exact
btx_6b4a9a00a0,sett_99c065eb12,exact
btx_14efd21690,sett_c29a7cd6cf,exact
btx_bf9f0f82e3,sett_d55a7bc88d,exact
btx_f73b559bc2,sett_1775a60725,duplicate_record
btx_12c86ed9c4,sett_58f2a72f5f,bank_adjustment
btx_860fce5c25,sett_1d3697de66,exact
btx_304674ecaa,sett_de3103ff8e,exact
btx_6792fcba23,sett_2cf4c636f4,exact
btx_f97ae40a7f,sett_f394b6b8b8,exact
btx_390195dffb,sett_2840af7f1a,exact
btx_2921f9abd1,sett_fa5c416c98,exact
btx_56da0b1b48,sett_736cde8e2c,exact
btx_217c073bc4,sett_774f13a63d,exact
btx_ddc4618134,sett_9b9717d967,exact
btx_b2fa765fd6,sett_79205092ab,exact
btx_d3bd00c33c,sett_46bcad43a7,split
btx_6eaff30f4d,sett_46bcad43a7,split
btx_8e3fbfe718,sett_241ce954c9,exact
btx_3f51652362,sett_1a215e5897,exact
btx_a2665651da,sett_78e752797e,currency_conversion
btx_3d4ca19f6d,sett_03b968126b,duplicate_record
btx_65e5837f8d,sett_ddec9f2751,exact
btx_7eff1511a2,sett_4e25437ba6,exact
btx_ca7165e267,sett_be5ee2ea6a,currency_conversion
btx_812b20d836,sett_aa39a488b0,exact
btx_09cc7ed816,sett_85c6a97ec4,exact
btx_cf95c704e0,sett_5092cad0d5,partial_refund
btx_19733c5898,sett_970cc6c7ea,exact
btx_bf2857042c,sett_58fd5e15e0,partial_refund
btx_ef0f55b554,sett_d1ba04fb08,exact
btx_b594934749,sett_f4149d5fcb,exact
btx_a604e66d1d,sett_2ba9b07568,exact
btx_246c7f49d3,sett_c02ce01898,exact
btx_574872edcd,sett_883d1af1c3,duplicate_record
btx_b0c5ac6da5,sett_bb9695a924,timing_skew
btx_130d89268d,sett_a1514d3d1a,exact
btx_0e556eb6f6,sett_46def8598e,exact
btx_10329f8a3a,sett_44af6bd796,exact
btx_bc17aa9c18,sett_c470ea3324,split
btx_5979019543,sett_c470ea3324,split
btx_bb063875a0,sett_9785990c64,exact
btx_78bf2f0b68,sett_94c441d7a3,exact
btx_bb93c65eb1,sett_79abe2e2ca,exact
btx_164e2c48b9,sett_94fb716770,exact
btx_ea8c7c5253,sett_8fbcba1ed0,bank_adjustment
btx_dd797c2367,sett_4a49dec157,exact
btx_59b3ccdfdd,sett_94a14ede7d,exact
btx_eaa2fb61c7,sett_96f1209c29,exact
btx_dd39a5de10,sett_0726b338bd,exact
btx_bb1399fd73,sett_f59d750afe,fee_discrepancy
btx_109e951244,sett_95346a01c1,duplicate_record
btx_986fd0fe58,sett_cdc9a3694f,exact
btx_653cc97681,sett_3707be79f9,exact
btx_27015d6b09,sett_567a667915,exact
btx_cafb3c3830,sett_1ceb482744,exact
btx_f7ed989d6d,sett_8ead917566,exact
btx_8cdca0ffcd,sett_fdd5956f30,split
btx_15747d462e,sett_fdd5956f30,split
btx_3f38e1e3c6,sett_91f4ff583a,exact
btx_63d7e8cfbc,sett_089b5a0dd6,exact
btx_6de86886ea,sett_bc92c8a285,exact
btx_144e90d6db,sett_1f596e06b9,exact
btx_4546cea630,sett_9bf9d2311b,exact
btx_76d37163fc,sett_b12461762f,exact
btx_3a87ee20d2,sett_6b03466cf0,exact
btx_192667c018,sett_2f3e67e8da,exact
btx_e989841b0f,sett_80eba03e9c,exact
btx_fe4d798b65,sett_46d62caac7,split
btx_763cf1694f,sett_46d62caac7,split
btx_85a44da1e4,sett_aa2bcbaf05,currency_conversion
btx_ba57745ecc,sett_2a69322624,exact
btx_8db381c439,sett_f6d811dcb6,exact
btx_01b81f9f83,sett_753b659872,exact
btx_81df3b1afb,sett_51b57a68c7,exact
btx_9ab2c84297,sett_5a3a37274d,exact
btx_a70915b877,sett_8ec5833c6d,bank_adjustment
btx_08ad138f7b,sett_2cea2f2903,exact
btx_01ff36acc5,sett_741927bb0b,currency_conversion
btx_21596abf6f,sett_7a42664ed5,exact
btx_6e69eb52be,sett_9d4afeb28a,exact
btx_f7107b08fa,sett_c987063b26,exact
btx_553bd33e18,sett_ae47feab43,exact
btx_b44f8db760,sett_5d1b8c96e7,partial_refund
btx_823063e4be,sett_963a1774aa,exact
btx_81755bf88c,sett_8574c09f02,currency_conversion
btx_6e8b57725d,sett_479bc75e92,bank_adjustment
btx_d4a811d7b2,sett_d43d6d4170,currency_conversion
btx_c4b7f4e061,sett_9089e8d8ea,exact
btx_b9277cbb87,sett_c23d478e8f,exact
btx_8d22a8d7f9,sett_e7941c898e,exact
btx_e7b1c5edfe,sett_4548b65fed,exact
btx_9ce0480ca1,sett_94373854f9,exact
btx_858649c4a0,sett_bdaeb7a85f,exact
btx_c7523f11b3,sett_0f6aac4192,exact
btx_936faa0e56,sett_6fe52f5bb5,partial_refund
btx_4d5c401612,sett_aa9d7dbb2c,duplicate_record
btx_40154778b8,sett_cdbb98f270,exact
btx_f434849985,sett_a8853fdde1,exact
btx_592514eea0,sett_7ae5156e20,exact
btx_40f8125b1f,sett_5e34408bf7,exact
btx_2d8d05678b,sett_da7cebdf38,exact
btx_7baa84de0e,sett_0b02fd8b0b,exact
btx_f1e433decb,sett_2007a07470,exact
btx_5d432a80fb,sett_248e20516d,exact
btx_cd18e95eb2,sett_e54dbf9738,exact
btx_cd361d7045,sett_f1112512a5,currency_conversion
btx_d7750b92ef,sett_701ca14173,currency_conversion
btx_2b0dc137ff,sett_22d1e9e258,timing_skew
btx_d2b3e55349,sett_6605a833ce,split
btx_aa2e3b73f8,sett_6605a833ce,split
btx_dbcfe4dbd9,sett_94fe6ca86b,exact
btx_6fe4a09619,sett_6e1a33e6eb,exact
btx_c661450f64,sett_ab004b9e97,exact
btx_cb8a20b97f,sett_71b2092ba8,exact
btx_72731c7a14,sett_ef41d7fe72,exact
btx_0c0c1faba8,sett_a3dbe0af0d,exact
btx_9da732fc4b,sett_3d336a7dbd,exact
btx_49f48e66f4,sett_a8df34f353,exact
btx_26991ccba5,sett_522d0ded66,bank_adjustment
btx_b4c7f0995e,sett_6abc788a09,exact
btx_60b5160443,sett_5676ecc3fd,fee_discrepancy
btx_688a1b021d,sett_d0ed92001a,exact
btx_295fd8c26e,sett_878a688841,exact
btx_383b3dfaff,sett_6c9cb1772e,exact
btx_56541461c8,sett_efa0ad918f,fee_discrepancy
btx_6b0db4cf8b,sett_25b16fca93,exact
btx_153be2429c,sett_158042f72f,exact
btx_ee99a34468,sett_f147ff6d2e,currency_conversion
btx_9c5c662878,sett_3b81e3661e,exact
btx_026c1fd04f,sett_b8857a1cb5,split
btx_7bdaa18af4,sett_b8857a1cb5,split
btx_974ca8dcf9,sett_447d357ea4,exact
btx_d90a3e2a34,sett_dcc4ac35e7,exact
btx_c725a17bb7,sett_14a3a38ead,exact
btx_85cc8dfe54,sett_4041f46f75,exact
btx_4bd069f7ce,sett_c52c984727,exact
btx_47f86f5c96,sett_93f43c088a,exact
btx_15f361f9f9,sett_5997c2a1e1,timing_skew
btx_c0f6141357,sett_ee39e0ab45,currency_conversion
btx_2ac4efc2c0,sett_b4a000ce25,exact
btx_32dcdfa761,sett_300eba7177,exact
btx_6bde294d14,sett_866b8f0b1b,exact
btx_39e1e4d00d,sett_ec4d1c40ab,exact
btx_a66c5d8d85,sett_96fc471170,fee_discrepancy
btx_8caf3bd90a,sett_02f6337a19,exact
btx_a67466cc78,sett_0f21f1ff5b,timing_skew
btx_3037ddd730,sett_94c8a1323b,currency_conversion
btx_8027b61e5b,sett_f1b1db2601,exact
btx_76229070ab,sett_3a2d2a0bd1,exact
btx_2a2585019e,sett_37b985285e,duplicate_record
btx_8f5332e8f7,sett_bfaf41b8ad,exact
btx_eaf42f293d,sett_802d640930,exact
btx_faef9f253c,sett_2395fe2459,partial_refund
btx_6246dbdf87,sett_04de4feaa5,exact
btx_1208916d17,sett_f9efa30311,timing_skew
btx_039d0f6f20,sett_628585f8d7,exact
btx_795284c201,sett_1198ccc954,exact
btx_2960e0365d,sett_f9fbdd704c,exact
btx_de99a0bf3c,sett_ee1e5ec446,exact
btx_63dc97e56b,sett_53d424b61c,exact
btx_5614eca08f,sett_5c1509ac3d,exact
btx_f95b2e4957,sett_99fedcce76,bank_adjustment
btx_5544ac0ccb,sett_05c37db1f7,exact
btx_a26148c696,sett_df08c7cd02,exact
btx_72d1ae393b,sett_ebbf6c662d,fee_discrepancy
btx_f3dad14ffd,sett_f752195691,exact
btx_a1f49ba3ee,sett_b36cb7d3a8,exact
btx_002ba3d1b3,sett_00d21a89c0,partial_refund
btx_b4b157559a,sett_a079991bca,exact
btx_4239a71fad,sett_5fecd7201d,exact
btx_2035f9eab5,sett_dccf7e37fb,exact
btx_b706ea5006,sett_e104176f1b,fee_discrepancy
btx_7e303fcf0b,sett_6f57ef5714,exact
btx_8a508a54a5,sett_48753c0f66,exact
btx_cd27e78e76,sett_679320194d,duplicate_record
btx_723a271c4a,sett_97e8a8bc68,bank_adjustment
btx_46383a15c6,sett_ba5b08b88a,exact
btx_3a9b258ea8,sett_3c044a8eaf,exact
btx_3a09396bd2,sett_385b3bce8c,exact
btx_61362bf5f4,sett_d145454919,exact
btx_0533df3ac6,sett_c06d452af5,split
btx_b47946ae6a,sett_c06d452af5,split
btx_08a227756f,sett_daed30c80c,exact
btx_6ffc38898f,sett_247194b787,exact
btx_539208998e,sett_c7b053c74a,exact
btx_97a5bc8015,sett_84c84710c0,exact
btx_96e715dc83,sett_2846ccd33c,duplicate_record
btx_b517411349,sett_6945aca125,exact
btx_83b6454038,sett_cc7419bb08,exact
btx_2e8302421b,sett_0648490d86,exact
btx_635b3bd162,sett_92e3744488,exact
btx_dc018c461d,sett_841d995ff3,fee_discrepancy
btx_9482ade7e8,sett_ed2176e4ce,exact
btx_a93e786020,sett_61a8147e30,exact
btx_acda0cfd7c,sett_907db64e9a,exact
btx_5418bf01d1,sett_c659ea71d0,exact
btx_2cd48afce6,sett_729a96ab81,exact
btx_819f577ca8,sett_f74dc9b7f1,exact
btx_c033df4cba,sett_22d2e5a692,exact
btx_47a25e7b34,sett_c01038591e,exact
btx_5469e9227b,sett_9ed2642268,exact
btx_f7f10e5e96,sett_73e6a937a3,timing_skew
btx_8047a6a0b7,sett_d16f715617,exact
btx_0abfdd6a97,sett_3d7f7e50cd,exact
btx_e16f661d69,sett_7c6a58b141,exact
btx_be8c36860b,sett_db55c64bca,timing_skew
btx_a6e5c4fe81,sett_0e050f38d2,exact
btx_dd563cf12f,sett_456e8fe58d,bank_adjustment
btx_db59b999ee,sett_61bd0c158b,timing_skew
btx_0ef2269e8d,sett_8d2b07a267,exact
btx_5532629b67,sett_506b5fc106,split
btx_c6e68525f7,sett_506b5fc106,split
btx_0ae6e67d2f,sett_ccacae83ed,exact
btx_9c1a1f69a0,sett_ac0062062a,exact
btx_faed169b1c,sett_51572ccad6,exact
btx_faca5bae4d,sett_d461d3647f,exact
btx_8bfe77359e,sett_7cac7c3b46,exact
btx_124e356604,sett_36826719a2,exact
btx_9e07f27c51,sett_71ecb5b3a9,exact
btx_758356cb21,sett_f75d79a392,split
btx_e50f1c5e41,sett_f75d79a392,split
btx_1980449f1f,sett_3602256ad4,exact
btx_d1974ec5f4,sett_d7174419b6,exact
btx_c530eee52c,sett_65ff3d223a,exact
btx_87964651e6,sett_89b3921ace,exact
btx_c7650d3528,sett_c53fe456f1,exact
btx_c4b3d87318,sett_2ebb516fe0,exact
btx_be1145d372,sett_9d720b3bb2,timing_skew
btx_584dc332ea,sett_2cbaff1d14,exact
btx_51da397863,sett_9ec0257f9e,exact
btx_7469f9ca34,sett_223e54398b,exact
btx_7435a24922,sett_f864f8dc45,timing_skew
btx_0260e84b06,sett_94b1b80216,exact
btx_0b434466d8,sett_8bcd7e6844,partial_refund
btx_d9382c0020,sett_b133cb9b45,duplicate_record
btx_d12acc3482,sett_c06ee861c1,exact
btx_1241846306,sett_4ffe6ac950,exact
btx_e39f64b009,sett_7ad9b6bce4,split
btx_1069fc0f47,sett_7ad9b6bce4,split
btx_417df45f40,sett_1eac3644bd,partial_refund
btx_ddddec9080,sett_19eaccf69b,exact
btx_c1735464cc,sett_610bc52ec5,exact
btx_cf963cc153,sett_9cbb3c14d4,exact
btx_c7c29b14fb,sett_29901b904b,exact
btx_c7723351c0,sett_71e9db6ea8,bank_adjustment
btx_baf76a5adb,sett_15ef69bf97,exact
btx_fe235b5288,sett_89cc21271d,exact
btx_39300b0ea3,sett_835595d3a3,exact
btx_7c11926b60,sett_3ead66e090,exact
btx_80e422991e,sett_efb1d13df4,duplicate_record
btx_aeaa8b5ecf,sett_70122f612a,partial_refund
btx_ac91ddaf36,sett_a32e20214b,split
btx_299f62f1fa,sett_a32e20214b,split
btx_e297040ef3,sett_61318fd565,exact
btx_a8b7c938f2,sett_64fd502e76,exact
btx_803cd99137,sett_798fb949d9,exact
btx_83bd8aebd4,sett_308d9e9ffb,exact
btx_90225bb123,sett_5db5f5ca3c,exact
btx_d6f0b5a0a4,sett_3c7b795532,fee_discrepancy
btx_febcff026d,sett_c6ad205524,exact
btx_cb186626ac,sett_760ca21a56,exact
btx_2dbf47fa16,sett_4ee436702d,exact
btx_db95aeb97d,sett_f65950be7a,timing_skew
btx_f72cad06b8,sett_8bc5a9e411,exact
btx_cc83bc59bd,sett_2ed949ee35,exact
btx_ff92ffcbe9,sett_82e1ac0dba,exact
btx_c3284d8d05,sett_787e7eb9c6,split
btx_77d28e16e5,sett_787e7eb9c6,split
btx_4e10aaae6c,sett_80ac0a6d92,exact
btx_04597a7e95,sett_111a177a57,currency_conversion
btx_7cf78959f4,sett_22f0c268a5,exact
btx_3f857a6172,sett_d1927ee4e0,exact
btx_f7de3be534,sett_9514f7af8d,exact
btx_09961a2006,sett_26a9e97c89,exact
btx_f5f0d1277b,sett_cf24209c02,exact
btx_c33d59ebe9,sett_2e82841ece,exact
btx_84e0a7aee1,sett_f29cf16b41,exact
btx_160c0fa815,sett_ce2d560f16,split
btx_eb3fc45656,sett_ce2d560f16,split
btx_8754a4ede8,sett_19bcc396d5,exact
btx_5c278be350,sett_2c8e9f601b,exact
btx_abc389107d,sett_d2302919c1,exact
btx_a937cdef13,sett_e2f81d4ead,currency_conversion
btx_ed561da0f7,sett_5e17a4cc1d,exact
btx_0245828fbf,sett_f6eeca807f,exact
btx_c02f28f08e,sett_465746d933,exact
btx_89ad31047d,sett_421ccc94b1,exact
btx_32e2009d4a,sett_d0634511eb,exact
btx_d67ca323c6,sett_3f529ea88f,bank_adjustment
btx_8c8c96d864,sett_af3315086a,exact
btx_787ebf2db8,sett_38ba2d7c56,bank_adjustment
btx_91c2b51994,sett_b33f87a1ed,exact
btx_218c3cb9e3,sett_9453693644,exact
btx_d3d635a194,sett_9c48812a46,currency_conversion
btx_6cd78b29d2,sett_60d8f58c9d,exact
btx_f2da49b98b,sett_55ac197445,exact
btx_0ddb25785e,sett_515c504f49,exact
btx_9a84bd82c4,sett_ebaaadb5f4,exact
btx_a1174fba8e,sett_c6ae0b5b43,exact
btx_20329f28d8,sett_2aa482e7a2,exact
btx_16f92eb3ca,sett_05fd2117cd,exact
btx_8f5fb640d2,sett_0eee97d8ae,bank_adjustment
btx_4eea5a912f,sett_cdc737caa5,currency_conversion
btx_e347d6d139,sett_e5659ce0c6,exact
btx_21070c8f3c,sett_3fdb9915bd,fee_discrepancy
btx_f7b9ee7f1d,sett_29026c678e,partial_refund
btx_fa693586c2,sett_88322936dc,timing_skew
btx_d4ae5e2217,sett_e95b27b5c9,exact
btx_d868efe3c3,sett_7156f0876c,exact
btx_48e399850e,sett_30c40c1680,currency_conversion
btx_a1e6f96719,sett_1b582e4d08,exact
btx_ce13b46315,sett_cf4635ea8d,exact
btx_f274251bc6,sett_142e7c71b9,exact
btx_d592bb39a2,sett_45a001da22,exact
btx_682ed8bdd4,sett_4a378fcc21,exact
btx_30f9060664,sett_e6af05ce9b,partial_refund
btx_cc06e75799,sett_2064d20bdb,exact
btx_192f30eff9,sett_77bd46c1b4,partial_refund
btx_d8d39c7759,sett_61362a9de2,exact
btx_577d7d1cdf,sett_6efb316231,exact
btx_d68c753625,sett_8f9b895964,exact
btx_fe6f1799c3,sett_24e2b6fbcd,exact
btx_7707819a68,sett_d3fe93b4cf,exact
btx_8155e26983,sett_63794779b6,currency_conversion
btx_de3a4ad954,sett_e1da41a2bb,exact
btx_c928bdbb18,sett_5be1a8862b,exact
btx_e0d52b960e,sett_d98a0227af,exact
btx_c1a0fe52af,sett_a0baedf3c2,exact
btx_d2fb456672,sett_77e882e8d4,exact
btx_c38b6195c7,sett_e336807fd3,exact
btx_2d038a7ff0,sett_febc6f4a63,partial_refund
btx_61f5e4dd25,sett_d4253563a0,exact
btx_b47848b8c5,sett_65d4106af5,exact
btx_1226072ef2,sett_89046fd3ef,exact
btx_ee1eb47a04,sett_b72b0a368e,exact
btx_88c9e0aeba,sett_4c71ba2182,exact
btx_f111b2e48b,sett_9e62e6db75,exact
btx_cbb278ff9c,sett_e57488ed65,currency_conversion
