event_id,event_type,subject_id,occurred_at,payload
evt_00000019,purchase_succeeded,person_00013,2026-01-04T15:34:28+00:00,"{""amount"": 326.67, ""balance_before"": 1805.01, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000019""}"
evt_0000001a,purchase_succeeded,person_00017,2026-01-04T20:36:01+00:00,"{""amount"": 44.74, ""balance_before"": 1727.38, ""from_id"": ""person_00017"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_0000001a""}"
evt_0000001b,purchase_succeeded,person_00018,2026-01-04T11:16:53+00:00,"{""amount"": 115.53, ""balance_before"": 751.33, ""from_id"": ""person_00018"", ""to_id"": ""merchant_0003"", ""transaction_id"": ""txn_0000001b""}"
evt_0000001c,salary_received,employer:person_00021,2026-01-04T09:14:31+00:00,"{""amount"": 1999.34, ""balance_before"": 947.61, ""from_id"": ""employer:person_00021"", ""to_id"": ""person_00021"", ""transaction_id"": ""txn_0000001c""}"
evt_0000001d,purchase_succeeded,person_00021,2026-01-04T21:59:43+00:00,"{""amount"": 149.74, ""balance_before"": 2946.95, ""from_id"": ""person_00021"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_0000001d""}"
evt_0000001e,purchase_succeeded,person_00023,2026-01-04T20:21:35+00:00,"{""amount"": 143.61, ""balance_before"": 358.75, ""from_id"": ""person_00023"", ""to_id"": ""merchant_0004"", ""transaction_id"": ""txn_0000001e""}"
evt_0000001f,purchase_succeeded,person_00003,2026-01-05T18:10:32+00:00,"{""amount"": 1169.46, ""balance_before"": 5241.29, ""from_id"": ""person_00003"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_0000001f""}"
evt_00000020,purchase_succeeded,person_00006,2026-01-05T12:44:44+00:00,"{""amount"": 264.56, ""balance_before"": 909.03, ""from_id"": ""person_00006"", ""to_id"": ""merchant_0006"", ""transaction_id"": ""txn_00000020""}"
evt_00000021,purchase_succeeded,person_00013,2026-01-05T08:31:43+00:00,"{""amount"": 55.39, ""balance_before"": 1478.34, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_00000021""}"
evt_00000022,purchase_succeeded,person_00021,2026-01-05T09:08:49+00:00,"{""amount"": 49.77, ""balance_before"": 2797.21, ""from_id"": ""person_00021"", ""to_id"": ""merchant_0012"", ""transaction_id"": ""txn_00000022""}"
evt_00000023,purchase_succeeded,person_00025,2026-01-05T19:51:57+00:00,"{""amount"": 354.53, ""balance_before"": 2801.83, ""from_id"": ""person_00025"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000023""}"
evt_00000024,purchase_succeeded,person_00001,2026-01-06T22:13:07+00:00,"{""amount"": 134.39, ""balance_before"": 4242.83, ""from_id"": ""person_00001"", ""to_id"": ""merchant_0003"", ""transaction_id"": ""txn_00000024""}"
evt_00000025,purchase_succeeded,person_00002,2026-01-06T16:17:15+00:00,"{""amount"": 267.81, ""balance_before"": 4665.41, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000025""}"
evt_00000026,purchase_succeeded,person_00008,2026-01-06T13:11:18+00:00,"{""amount"": 265.02, ""balance_before"": 1980.45, ""from_id"": ""person_00008"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000026""}"
evt_00000027,purchase_succeeded,person_00009,2026-01-06T15:53:43+00:00,"{""amount"": 99.0, ""balance_before"": 3049.26, ""from_id"": ""person_00009"", ""to_id"": ""merchant_0013"", ""transaction_id"": ""txn_00000027""}"
evt_00000028,purchase_succeeded,person_00013,2026-01-06T13:36:56+00:00,"{""amount"": 94.1, ""balance_before"": 1422.95, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_00000028""}"
evt_00000029,purchase_succeeded,person_00015,2026-01-06T07:34:18+00:00,"{""amount"": 106.45, ""balance_before"": 2318.98, ""from_id"": ""person_00015"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_00000029""}"
evt_0000002a,salary_received,employer:person_00019,2026-01-06T18:36:51+00:00,"{""amount"": 2648.64, ""balance_before"": 689.12, ""from_id"": ""employer:person_00019"", ""to_id"": ""person_00019"", ""transaction_id"": ""txn_0000002a""}"
evt_0000002b,purchase_succeeded,person_00019,2026-01-06T17:00:07+00:00,"{""amount"": 165.28, ""balance_before"": 3337.76, ""from_id"": ""person_00019"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_0000002b""}"
evt_0000002c,purchase_succeeded,person_00004,2026-01-07T13:59:29+00:00,"{""amount"": 11.81, ""balance_before"": 1787.83, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_0000002c""}"
evt_0000002d,salary_received,employer:person_00010,2026-01-07T21:39:42+00:00,"{""amount"": 4778.63, ""balance_before"": 1424.96, ""from_id"": ""employer:person_00010"", ""to_id"": ""person_00010"", ""transaction_id"": ""txn_0000002d""}"
evt_0000002e,purchase_succeeded,person_00012,2026-01-07T17:55:39+00:00,"{""amount"": 50.92, ""balance_before"": 646.98, ""from_id"": ""person_00012"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_0000002e""}"
evt_0000002f,purchase_succeeded,person_00007,2026-01-08T16:09:29+00:00,"{""amount"": 640.8, ""balance_before"": 4158.35, ""from_id"": ""person_00007"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_0000002f""}"
evt_00000030,purchase_succeeded,person_00011,2026-01-08T09:22:04+00:00,"{""amount"": 765.21, ""balance_before"": 4146.2, ""from_id"": ""person_00011"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_00000030""}"
evt_00000031,purchase_succeeded,person_00013,2026-01-08T09:25:40+00:00,"{""amount"": 196.14, ""balance_before"": 1328.85, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0012"", ""transaction_id"": ""txn_00000031""}"
evt_00000032,purchase_succeeded,person_00016,2026-01-08T09:04:44+00:00,"{""amount"": 129.76, ""balance_before"": 1767.15, ""from_id"": ""person_00016"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000032""}"
evt_00000033,purchase_succeeded,person_00022,2026-01-08T15:22:39+00:00,"{""amount"": 852.58, ""balance_before"": 2335.31, ""from_id"": ""person_00022"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000033""}"
evt_00000034,purchase_succeeded,person_00024,2026-01-08T17:45:14+00:00,"{""amount"": 224.34, ""balance_before"": 3223.71, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000034""}"
evt_00000035,purchase_succeeded,person_00025,2026-01-08T07:54:57+00:00,"{""amount"": 259.99, ""balance_before"": 2447.3, ""from_id"": ""person_00025"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000035""}"
evt_00000036,purchase_succeeded,person_00002,2026-01-09T15:12:04+00:00,"{""amount"": 457.59, ""balance_before"": 4397.6, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0004"", ""transaction_id"": ""txn_00000036""}"
evt_00000037,purchase_succeeded,person_00004,2026-01-09T11:38:16+00:00,"{""amount"": 301.54, ""balance_before"": 1776.02, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0015"", ""transaction_id"": ""txn_00000037""}"
evt_00000038,purchase_succeeded,person_00006,2026-01-09T18:19:48+00:00,"{""amount"": 304.58, ""balance_before"": 644.47, ""from_id"": ""person_00006"", ""to_id"": ""merchant_0008"", ""transaction_id"": ""txn_00000038""}"
evt_00000039,purchase_succeeded,person_00007,2026-01-09T16:04:06+00:00,"{""amount"": 74.3, ""balance_before"": 3517.55, ""from_id"": ""person_00007"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000039""}"
evt_0000003a,purchase_succeeded,person_00008,2026-01-09T08:03:51+00:00,"{""amount"": 172.63, ""balance_before"": 1715.43, ""from_id"": ""person_00008"", ""to_id"": ""merchant_0003"", ""transaction_id"": ""txn_0000003a""}"
evt_0000003b,purchase_succeeded,person_00011,2026-01-09T21:21:42+00:00,"{""amount"": 104.77, ""balance_before"": 3380.99, ""from_id"": ""person_00011"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_0000003b""}"
evt_0000003c,purchase_succeeded,person_00013,2026-01-09T14:31:28+00:00,"{""amount"": 117.9, ""balance_before"": 1132.71, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_0000003c""}"
evt_0000003d,purchase_succeeded,person_00015,2026-01-09T19:13:28+00:00,"{""amount"": 194.94, ""balance_before"": 2212.53, ""from_id"": ""person_00015"", ""to_id"": ""merchant_0008"", ""transaction_id"": ""txn_0000003d""}"
evt_0000003e,purchase_succeeded,person_00017,2026-01-09T08:00:51+00:00,"{""amount"": 228.56, ""balance_before"": 1682.64, ""from_id"": ""person_00017"", ""to_id"": ""merchant_0002"", ""transaction_id"": ""txn_0000003e""}"
evt_0000003f,purchase_succeeded,person_00018,2026-01-09T16:58:12+00:00,"{""amount"": 306.34, ""balance_before"": 635.8, ""from_id"": ""person_00018"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_0000003f""}"
evt_00000040,purchase_succeeded,person_00022,2026-01-09T08:36:24+00:00,"{""amount"": 548.73, ""balance_before"": 1482.73, ""from_id"": ""person_00022"", ""to_id"": ""merchant_0003"", ""transaction_id"": ""txn_00000040""}"
evt_00000041,purchase_succeeded,person_00023,2026-01-09T07:02:34+00:00,"{""amount"": 48.21, ""balance_before"": 215.14, ""from_id"": ""person_00023"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000041""}"
evt_00000042,purchase_succeeded,person_00024,2026-01-09T10:27:05+00:00,"{""amount"": 265.48, ""balance_before"": 2999.37, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000042""}"
evt_00000043,purchase_succeeded,person_00025,2026-01-09T13:42:28+00:00,"{""amount"": 186.95, ""balance_before"": 2187.31, ""from_id"": ""person_00025"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000043""}"
evt_00000044,purchase_succeeded,person_00001,2026-01-10T14:15:03+00:00,"{""amount"": 738.33, ""balance_before"": 4108.44, ""from_id"": ""person_00001"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000044""}"
evt_00000045,purchase_succeeded,person_00004,2026-01-10T08:57:22+00:00,"{""amount"": 174.14, ""balance_before"": 1474.48, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000045""}"
evt_00000046,purchase_succeeded,person_00010,2026-01-10T09:16:11+00:00,"{""amount"": 202.52, ""balance_before"": 6203.59, ""from_id"": ""person_00010"", ""to_id"": ""merchant_0013"", ""transaction_id"": ""txn_00000046""}"
evt_00000047,purchase_succeeded,person_00012,2026-01-10T08:03:40+00:00,"{""amount"": 160.56, ""balance_before"": 596.06, ""from_id"": ""person_00012"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000047""}"
evt_00000048,purchase_succeeded,person_00013,2026-01-10T10:20:02+00:00,"{""amount"": 210.98, ""balance_before"": 1014.81, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0006"", ""transaction_id"": ""txn_00000048""}"
evt_00000049,purchase_succeeded,person_00014,2026-01-10T19:48:45+00:00,"{""amount"": 46.52, ""balance_before"": 2017.84, ""from_id"": ""person_00014"", ""to_id"": ""merchant_0015"", ""transaction_id"": ""txn_00000049""}"
evt_0000004a,purchase_succeeded,person_00019,2026-01-10T19:03:46+00:00,"{""amount"": 105.15, ""balance_before"": 3172.48, ""from_id"": ""person_00019"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_0000004a""}"
evt_0000004b,purchase_succeeded,person_00024,2026-01-10T14:32:35+00:00,"{""amount"": 233.85, ""balance_before"": 2733.89, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_0000004b""}"
evt_0000004c,purchase_succeeded,person_00025,2026-01-10T22:06:08+00:00,"{""amount"": 505.32, ""balance_before"": 2000.36, ""from_id"": ""person_00025"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_0000004c""}"
evt_0000004d,purchase_succeeded,person_00002,2026-01-11T07:57:53+00:00,"{""amount"": 418.13, ""balance_before"": 3940.01, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_0000004d""}"
evt_0000004e,purchase_succeeded,person_00005,2026-01-11T18:08:36+00:00,"{""amount"": 436.75, ""balance_before"": 2654.44, ""from_id"": ""person_00005"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_0000004e""}"
evt_0000004f,purchase_succeeded,person_00006,2026-01-11T17:26:19+00:00,"{""amount"": 119.37, ""balance_before"": 339.89, ""from_id"": ""person_00006"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_0000004f""}"
evt_00000050,purchase_succeeded,person_00007,2026-01-11T07:33:07+00:00,"{""amount"": 246.68, ""balance_before"": 3443.25, ""from_id"": ""person_00007"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000050""}"
evt_00000051,purchase_succeeded,person_00008,2026-01-11T09:28:17+00:00,"{""amount"": 274.43, ""balance_before"": 1542.8, ""from_id"": ""person_00008"", ""to_id"": ""merchant_0006"", ""transaction_id"": ""txn_00000051""}"
evt_00000052,purchase_succeeded,person_00017,2026-01-11T14:44:36+00:00,"{""amount"": 158.47, ""balance_before"": 1454.08, ""from_id"": ""person_00017"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000052""}"
evt_00000053,purchase_succeeded,person_00001,2026-01-12T11:58:07+00:00,"{""amount"": 172.2, ""balance_before"": 3370.11, ""from_id"": ""person_00001"", ""to_id"": ""merchant_0010"", ""transaction_id"": ""txn_00000053""}"
evt_00000054,purchase_succeeded,person_00002,2026-01-12T10:34:43+00:00,"{""amount"": 185.47, ""balance_before"": 3521.88, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_00000054""}"
evt_00000055,purchase_succeeded,person_00004,2026-01-12T09:54:04+00:00,"{""amount"": 106.88, ""balance_before"": 1300.34, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000055""}"
evt_00000056,purchase_failed,person_00006,2026-01-12T07:37:23+00:00,"{""amount"": 243.1, ""balance_before"": 220.52, ""from_id"": ""person_00006"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_00000056""}"
evt_00000057,purchase_succeeded,person_00010,2026-01-12T14:27:28+00:00,"{""amount"": 143.64, ""balance_before"": 6001.07, ""from_id"": ""person_00010"", ""to_id"": ""merchant_0015"", ""transaction_id"": ""txn_00000057""}"
evt_00000058,salary_received,employer:person_00015,2026-01-12T15:26:12+00:00,"{""amount"": 4435.39, ""balance_before"": 2017.59, ""from_id"": ""employer:person_00015"", ""to_id"": ""person_00015"", ""transaction_id"": ""txn_00000058""}"
evt_00000059,purchase_succeeded,person_00015,2026-01-12T22:04:25+00:00,"{""amount"": 281.51, ""balance_before"": 6452.98, ""from_id"": ""person_00015"", ""to_id"": ""merchant_0015"", ""transaction_id"": ""txn_00000059""}"
evt_0000005a,purchase_failed,person_00022,2026-01-12T07:34:07+00:00,"{""amount"": 1212.59, ""balance_before"": 934.0, ""from_id"": ""person_00022"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_0000005a""}"
evt_0000005b,purchase_succeeded,person_00001,2026-01-13T16:33:26+00:00,"{""amount"": 712.0, ""balance_before"": 3197.91, ""from_id"": ""person_00001"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_0000005b""}"
evt_0000005c,purchase_succeeded,person_00002,2026-01-13T16:28:19+00:00,"{""amount"": 411.41, ""balance_before"": 3336.41, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_0000005c""}"
evt_0000005d,purchase_succeeded,person_00003,2026-01-13T12:16:40+00:00,"{""amount"": 320.93, ""balance_before"": 4071.83, ""from_id"": ""person_00003"", ""to_id"": ""merchant_0013"", ""transaction_id"": ""txn_0000005d""}"
evt_0000005e,purchase_succeeded,person_00004,2026-01-13T18:26:25+00:00,"{""amount"": 167.7, ""balance_before"": 1193.46, ""from_id"": ""person_00004"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_0000005e""}"
evt_0000005f,salary_received,employer:person_00006,2026-01-13T07:57:05+00:00,"{""amount"": 2191.31, ""balance_before"": 220.52, ""from_id"": ""employer:person_00006"", ""to_id"": ""person_00006"", ""transaction_id"": ""txn_0000005f""}"
evt_00000060,purchase_succeeded,person_00016,2026-01-13T12:52:16+00:00,"{""amount"": 140.45, ""balance_before"": 1637.39, ""from_id"": ""person_00016"", ""to_id"": ""merchant_0001"", ""transaction_id"": ""txn_00000060""}"
evt_00000061,purchase_succeeded,person_00017,2026-01-13T15:32:18+00:00,"{""amount"": 56.2, ""balance_before"": 1295.61, ""from_id"": ""person_00017"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_00000061""}"
evt_00000062,purchase_succeeded,person_00002,2026-01-14T07:06:16+00:00,"{""amount"": 83.24, ""balance_before"": 2925.0, ""from_id"": ""person_00002"", ""to_id"": ""merchant_0004"", ""transaction_id"": ""txn_00000062""}"
evt_00000063,purchase_succeeded,person_00003,2026-01-14T12:53:00+00:00,"{""amount"": 508.35, ""balance_before"": 3750.9, ""from_id"": ""person_00003"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000063""}"
evt_00000064,salary_received,employer:person_00004,2026-01-14T08:35:13+00:00,"{""amount"": 2370.21, ""balance_before"": 1025.76, ""from_id"": ""employer:person_00004"", ""to_id"": ""person_00004"", ""transaction_id"": ""txn_00000064""}"
evt_00000065,purchase_succeeded,person_00008,2026-01-14T10:16:43+00:00,"{""amount"": 188.2, ""balance_before"": 1268.37, ""from_id"": ""person_00008"", ""to_id"": ""merchant_0011"", ""transaction_id"": ""txn_00000065""}"
evt_00000066,purchase_succeeded,person_00009,2026-01-14T08:50:13+00:00,"{""amount"": 324.72, ""balance_before"": 2950.26, ""from_id"": ""person_00009"", ""to_id"": ""merchant_0014"", ""transaction_id"": ""txn_00000066""}"
evt_00000067,purchase_succeeded,person_00011,2026-01-14T22:57:25+00:00,"{""amount"": 564.76, ""balance_before"": 3276.22, ""from_id"": ""person_00011"", ""to_id"": ""merchant_0005"", ""transaction_id"": ""txn_00000067""}"
evt_00000068,purchase_succeeded,person_00012,2026-01-14T13:10:33+00:00,"{""amount"": 72.67, ""balance_before"": 435.5, ""from_id"": ""person_00012"", ""to_id"": ""merchant_0007"", ""transaction_id"": ""txn_00000068""}"
evt_00000069,purchase_succeeded,person_00013,2026-01-14T16:55:31+00:00,"{""amount"": 278.22, ""balance_before"": 803.83, ""from_id"": ""person_00013"", ""to_id"": ""merchant_0009"", ""transaction_id"": ""txn_00000069""}"
evt_0000006a,purchase_succeeded,person_00020,2026-01-14T15:03:34+00:00,"{""amount"": 250.85, ""balance_before"": 888.14, ""from_id"": ""person_00020"", ""to_id"": ""merchant_0006"", ""transaction_id"": ""txn_0000006a""}"
evt_0000006b,purchase_succeeded,person_00024,2026-01-14T20:09:08+00:00,"{""amount"": 224.22, ""balance_before"": 2500.04, ""from_id"": ""person_00024"", ""to_id"": ""merchant_0004"", ""transaction_id"": ""txn_0000006b""}"
